Task,Start,Finish,Cores,RequestId
-1,2022-04-07 18:30:45.293487,2022-04-07 18:30:46.294555,8,0
0,2022-04-07 18:30:48.737078,2022-04-07 18:32:30.129547,16,0
-1,2022-04-07 18:31:06.313827,2022-04-07 18:31:07.314904,8,1
-1,2022-04-07 18:31:27.333813,2022-04-07 18:31:28.334893,8,2
-1,2022-04-07 18:31:48.353824,2022-04-07 18:31:49.354915,8,3
-1,2022-04-07 18:32:09.375148,2022-04-07 18:32:10.376264,8,4
0.5,2022-04-07 18:30:48.737078,2022-04-07 18:31:13.737078,1,
0.5,2022-04-07 18:31:13.737078,2022-04-07 18:31:31.737078,2,
0.5,2022-04-07 18:31:31.737078,2022-04-07 18:31:49.737078,1,
0.5,2022-04-07 18:31:49.737078,2022-04-07 18:32:07.737078,2,
0.5,2022-04-07 18:32:07.737078,2022-04-07 18:32:26.737078,1,
-1,2022-04-07 18:32:30.396511,2022-04-07 18:32:31.397608,8,5
1,2022-04-07 18:32:42.646856,2022-04-07 18:33:25.738083,3,1
2,2022-04-07 18:32:45.851239,2022-04-07 18:38:16.825897,3,2
3,2022-04-07 18:32:48.980733,2022-04-07 18:39:41.002820,3,3
4,2022-04-07 18:32:52.226776,2022-04-07 18:35:52.543440,3,4
5,2022-04-07 18:32:55.649991,2022-04-07 18:39:41.002918,3,5
1,2022-04-07 18:33:25.738089,2022-04-07 18:38:06.813039,4,1
-1,2022-04-07 18:33:25.738243,2022-04-07 18:33:26.739325,8,6
-1,2022-04-07 18:33:46.759558,2022-04-07 18:33:47.760644,8,7
-1,2022-04-07 18:34:07.777787,2022-04-07 18:34:08.778873,8,8
-1,2022-04-07 18:34:28.797799,2022-04-07 18:34:29.798887,8,9
-1,2022-04-07 18:34:49.819101,2022-04-07 18:34:50.820199,8,10
-1,2022-04-07 18:35:10.837786,2022-04-07 18:35:11.838876,8,11
-1,2022-04-07 18:35:31.857792,2022-04-07 18:35:32.858913,8,12
-1,2022-04-07 18:35:52.877892,2022-04-07 18:35:53.879009,8,13
-1,2022-04-07 18:36:13.897784,2022-04-07 18:36:14.898883,8,14
-3,2022-04-07 18:36:34.317805,2022-04-07 18:36:35.318896,4,4
-1,2022-04-07 18:36:35.319055,2022-04-07 18:36:36.320171,8,15
6,2022-04-07 18:36:38.098745,2022-04-07 18:40:04.880956,2,6
1.5,2022-04-07 18:33:25.738089,2022-04-07 18:34:40.738089,1,
1.5,2022-04-07 18:34:40.738089,2022-04-07 18:35:40.738089,2,
1.5,2022-04-07 18:35:40.738089,2022-04-07 18:36:42.738089,1,
1.5,2022-04-07 18:36:42.738089,2022-04-07 18:37:43.738089,2,
1.5,2022-04-07 18:37:43.738089,2022-04-07 18:38:45.738089,1,
2,2022-04-07 18:38:16.825908,2022-04-07 18:39:30.987496,8,2
2.5,2022-04-07 18:38:16.825908,2022-04-07 18:39:46.825908,1,
2.5,2022-04-07 18:39:46.825908,2022-04-07 18:41:10.825908,2,
2.5,2022-04-07 18:41:10.825908,2022-04-07 18:42:32.825908,1,
2.5,2022-04-07 18:42:32.825908,2022-04-07 18:43:51.825908,2,
2.5,2022-04-07 18:43:51.825908,2022-04-07 18:44:57.825908,1,
3,2022-04-07 18:39:41.002835,2022-04-07 18:39:48.760340,8,3
5,2022-04-07 18:39:41.002924,2022-04-07 18:39:54.865867,6,5
3.5,2022-04-07 18:39:41.002835,2022-04-07 18:41:09.002835,1,
3.5,2022-04-07 18:41:09.002835,2022-04-07 18:42:32.002835,2,
3.5,2022-04-07 18:42:32.002835,2022-04-07 18:43:56.002835,1,
3.5,2022-04-07 18:43:56.002835,2022-04-07 18:45:19.002835,2,
3.5,2022-04-07 18:45:19.002835,2022-04-07 18:46:38.002835,1,
5.5,2022-04-07 18:39:41.002924,2022-04-07 18:41:10.002924,1,
5.5,2022-04-07 18:41:10.002924,2022-04-07 18:42:32.002924,2,
5.5,2022-04-07 18:42:32.002924,2022-04-07 18:43:55.002924,1,
5.5,2022-04-07 18:43:55.002924,2022-04-07 18:45:18.002924,2,
5.5,2022-04-07 18:45:18.002924,2022-04-07 18:46:36.002924,1,
6,2022-04-07 18:40:04.880967,2022-04-07 18:46:00.012234,8,6
7,2022-04-07 18:40:07.643659,2022-04-07 18:46:10.026732,2,7
8,2022-04-07 18:40:10.935802,2022-04-07 18:46:10.026841,2,8
9,2022-04-07 18:40:14.217791,2022-04-07 18:50:16.407077,2,9
10,2022-04-07 18:40:17.537459,2022-04-07 18:52:18.689758,2,10
6.5,2022-04-07 18:40:04.880967,2022-04-07 18:42:46.880967,1,
6.5,2022-04-07 18:42:46.880967,2022-04-07 18:44:36.880967,2,
6.5,2022-04-07 18:44:36.880967,2022-04-07 18:46:11.880967,1,
6.5,2022-04-07 18:46:11.880967,2022-04-07 18:47:45.880967,2,
6.5,2022-04-07 18:47:45.880967,2022-04-07 18:49:20.880967,1,
7,2022-04-07 18:46:10.026740,2022-04-07 18:49:08.448324,8,7
8,2022-04-07 18:46:10.026845,2022-04-07 18:50:06.392081,4,8
-3,2022-04-07 18:49:50.142960,2022-04-07 18:49:51.144073,7,7
11,2022-04-07 18:49:53.859099,2022-04-07 18:53:17.677414,2,11
12,2022-04-07 18:49:57.271223,2022-04-07 18:53:17.677519,2,12
13,2022-04-07 18:50:00.646568,2022-04-07 19:03:08.510601,2,13
14,2022-04-07 18:50:04.173528,2022-04-07 19:03:08.352636,2,14
8.5,2022-04-07 18:46:10.026845,2022-04-07 18:48:45.026845,1,
8.5,2022-04-07 18:48:45.026845,2022-04-07 18:51:18.026845,2,
8.5,2022-04-07 18:51:18.026845,2022-04-07 18:53:07.026845,1,
8.5,2022-04-07 18:53:07.026845,2022-04-07 18:54:34.026845,2,
8.5,2022-04-07 18:54:34.026845,2022-04-07 18:56:01.026845,1,
9,2022-04-07 18:50:16.407089,2022-04-07 18:52:08.679123,6,9
9.5,2022-04-07 18:50:16.407089,2022-04-07 18:52:54.407089,1,
9.5,2022-04-07 18:52:54.407089,2022-04-07 18:55:31.407089,2,
9.5,2022-04-07 18:55:31.407089,2022-04-07 18:58:08.407089,1,
9.5,2022-04-07 18:58:08.407089,2022-04-07 19:00:34.407089,2,
9.5,2022-04-07 19:00:34.407089,2022-04-07 19:02:07.407089,1,
10,2022-04-07 18:52:18.689771,2022-04-07 18:53:07.663098,8,10
10.5,2022-04-07 18:52:18.689771,2022-04-07 18:55:04.689771,1,
10.5,2022-04-07 18:55:04.689771,2022-04-07 18:57:48.689771,2,
10.5,2022-04-07 18:57:48.689771,2022-04-07 19:00:23.689771,1,
10.5,2022-04-07 19:00:23.689771,2022-04-07 19:02:57.689771,2,
10.5,2022-04-07 19:02:57.689771,2022-04-07 19:05:03.689771,1,
11,2022-04-07 18:53:17.677425,2022-04-07 18:57:54.611976,8,11
12,2022-04-07 18:53:17.677524,2022-04-07 18:58:48.757441,4,12
-3,2022-04-07 18:58:36.358335,2022-04-07 18:58:37.359454,11,11
4,2022-04-07 18:58:40.253067,2022-04-07 18:58:58.771171,2,4
15,2022-04-07 18:58:43.476343,2022-04-07 19:10:36.055939,2,15
7,2022-04-07 18:58:46.874599,2022-04-07 19:03:18.521861,2,7
12.5,2022-04-07 18:53:17.677524,2022-04-07 18:55:54.677524,1,
12.5,2022-04-07 18:55:54.677524,2022-04-07 18:57:40.677524,2,
12.5,2022-04-07 18:57:40.677524,2022-04-07 18:59:08.677524,1,
12.5,2022-04-07 18:59:08.677524,2022-04-07 19:00:35.677524,2,
12.5,2022-04-07 19:00:35.677524,2022-04-07 19:02:04.677524,1,
11,2022-04-07 18:58:50.272976,2022-04-07 19:08:29.086753,2,11
4,2022-04-07 18:58:58.771181,2022-04-07 19:11:42.864053,6,4
14.5,2022-04-07 18:50:04.173528,2022-04-07 18:52:40.173528,1,
14.5,2022-04-07 18:52:40.173528,2022-04-07 18:55:17.173528,2,
14.5,2022-04-07 18:55:17.173528,2022-04-07 18:57:51.173528,1,
14.5,2022-04-07 18:57:51.173528,2022-04-07 19:00:27.173528,2,
14.5,2022-04-07 19:00:27.173528,2022-04-07 19:03:04.173528,1,
13.5,2022-04-07 18:50:00.646568,2022-04-07 18:52:39.646568,1,
13.5,2022-04-07 18:52:39.646568,2022-04-07 18:55:17.646568,2,
13.5,2022-04-07 18:55:17.646568,2022-04-07 18:57:51.646568,1,
13.5,2022-04-07 18:57:51.646568,2022-04-07 19:00:27.646568,2,
13.5,2022-04-07 19:00:27.646568,2022-04-07 19:03:04.646568,1,
7,2022-04-07 19:03:18.521877,2022-04-07 19:08:19.071623,6,7
7.5,2022-04-07 19:03:18.521877,2022-04-07 19:05:52.521877,1,
7.5,2022-04-07 19:05:52.521877,2022-04-07 19:08:10.521877,2,
7.5,2022-04-07 19:08:10.521877,2022-04-07 19:09:43.521877,1,
7.5,2022-04-07 19:09:43.521877,2022-04-07 19:11:15.521877,2,
7.5,2022-04-07 19:11:15.521877,2022-04-07 19:12:47.521877,1,
11,2022-04-07 19:08:29.086764,2022-04-07 19:10:26.041550,8,11
11.5,2022-04-07 19:08:29.086764,2022-04-07 19:11:05.086764,1,
11.5,2022-04-07 19:11:05.086764,2022-04-07 19:13:38.086764,2,
11.5,2022-04-07 19:13:38.086764,2022-04-07 19:16:10.086764,1,
11.5,2022-04-07 19:16:10.086764,2022-04-07 19:18:28.086764,2,
11.5,2022-04-07 19:18:28.086764,2022-04-07 19:20:02.086764,1,
15,2022-04-07 19:10:36.055956,2022-04-07 19:11:23.455545,8,15
15.5,2022-04-07 19:10:36.055956,2022-04-07 19:13:17.055956,1,
15.5,2022-04-07 19:13:17.055956,2022-04-07 19:15:54.055956,2,
15.5,2022-04-07 19:15:54.055956,2022-04-07 19:18:28.055956,1,
15.5,2022-04-07 19:18:28.055956,2022-04-07 19:21:02.055956,2,
15.5,2022-04-07 19:21:02.055956,2022-04-07 19:23:12.055956,1,
4.5,2022-04-07 18:58:58.771181,2022-04-07 19:01:40.771181,1,
4.5,2022-04-07 19:01:40.771181,2022-04-07 19:04:18.771181,2,
4.5,2022-04-07 19:04:18.771181,2022-04-07 19:06:52.771181,1,
4.5,2022-04-07 19:06:52.771181,2022-04-07 19:09:25.771181,2,
4.5,2022-04-07 19:09:25.771181,2022-04-07 19:11:57.771181,1,
