Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,maleable,0,1,7,1,15,2022-04-07 18:30:45.293475,2022-04-07 18:30:48.737061,2022-04-07 18:32:30.129497,,,,,,,,,,,,,0,0,0,0,,,
keras_example_resnet,max_prop,maleable,1,1,7,1,2,2022-04-07 18:31:06.313799,2022-04-07 18:32:42.646839,2022-04-07 18:38:06.812975,2022-04-07 18:33:25.738054,1,3,,,,,,,,,,1,0,0,1,,,
keras_example_resnet,max_prop,maleable,2,1,7,1,2,2022-04-07 18:31:27.333788,2022-04-07 18:32:45.851227,2022-04-07 18:39:30.987437,2022-04-07 18:38:16.825871,1,7,,,,,,,,,,1,0,0,2,,,
keras_example_resnet,max_prop,maleable,3,1,7,1,2,2022-04-07 18:31:48.353768,2022-04-07 18:32:48.980720,2022-04-07 18:39:48.760268,2022-04-07 18:39:41.002791,1,7,,,,,,,,,,1,0,0,3,,,
keras_example_resnet,max_prop,maleable,5,1,7,1,2,2022-04-07 18:32:30.396492,2022-04-07 18:32:55.649978,2022-04-07 18:39:54.865805,2022-04-07 18:39:41.002909,1,5,,,,,,,,,,1,0,0,5,,,
keras_example_resnet,max_prop,maleable,6,1,7,1,1,2022-04-07 18:33:25.738229,2022-04-07 18:36:38.098730,2022-04-07 18:46:00.012157,2022-04-07 18:40:04.880929,1,7,,,,,,,,,,1,0,0,6,,,
keras_example_resnet,max_prop,maleable,8,1,7,1,1,2022-04-07 18:34:07.777757,2022-04-07 18:40:10.935787,2022-04-07 18:50:06.391990,2022-04-07 18:46:10.026828,1,3,,,,,,,,,,1,0,0,8,,,
keras_example_resnet,max_prop,maleable,9,1,7,1,1,2022-04-07 18:34:28.797748,2022-04-07 18:40:14.217776,2022-04-07 18:52:08.679042,2022-04-07 18:50:16.407037,1,5,,,,,,,,,,1,0,0,9,,,
keras_example_resnet,max_prop,maleable,10,1,7,1,1,2022-04-07 18:34:49.819074,2022-04-07 18:40:17.537445,2022-04-07 18:53:07.663020,2022-04-07 18:52:18.689723,1,7,,,,,,,,,,1,0,0,10,,,
keras_example_resnet,max_prop,maleable,12,1,7,1,1,2022-04-07 18:35:31.857765,2022-04-07 18:49:57.271204,2022-04-07 18:58:48.757336,2022-04-07 18:53:17.677503,1,3,,,,,,,,,,1,0,0,12,,,
keras_example_resnet,max_prop,maleable,14,1,7,1,1,2022-04-07 18:36:13.897758,2022-04-07 18:50:04.173510,2022-04-07 19:03:08.352543,,,,,,,,,,,,,0,0,0,14,,,
keras_example_resnet,max_prop,maleable,13,1,7,1,1,2022-04-07 18:35:52.877858,2022-04-07 18:50:00.646550,2022-04-07 19:03:08.510512,,,,,,,,,,,,,0,0,0,13,,,
keras_example_resnet,max_prop,maleable,7,1,7,1,1,2022-04-07 18:33:46.759534,2022-04-07 18:58:46.874569,2022-04-07 19:08:19.071517,2022-04-07 18:46:10.026697,1,7,2022-04-07 19:03:18.521807,1,5,,,,,,,2,0,0,7,,,
keras_example_resnet,max_prop,maleable,11,1,7,1,1,2022-04-07 18:35:10.837761,2022-04-07 18:58:50.272957,2022-04-07 19:10:26.041455,2022-04-07 18:53:17.677375,1,7,2022-04-07 19:08:29.086702,1,7,,,,,,,2,0,0,11,,,
keras_example_resnet,max_prop,maleable,15,1,7,1,1,2022-04-07 18:36:35.319038,2022-04-07 18:58:43.476325,2022-04-07 19:11:23.455449,2022-04-07 19:10:36.055887,1,7,,,,,,,,,,1,0,0,15,,,
keras_example_resnet,max_prop,maleable,4,1,7,1,1,2022-04-07 18:32:09.375122,2022-04-07 18:58:40.253046,2022-04-07 19:11:42.861297,2022-04-07 18:58:58.771120,1,5,,,,,,,,,,1,0,0,4,,,
