Task,Start,Finish,Cores,RequestId
-1,2022-04-07 19:29:11.064156,2022-04-07 19:29:11.064164,8,0
0,2022-04-07 19:29:13.644777,2022-04-07 19:30:57.269517,16,0
-1,2022-04-07 19:29:31.081854,2022-04-07 19:29:31.081865,8,1
-1,2022-04-07 19:29:51.101825,2022-04-07 19:29:51.101837,8,2
-1,2022-04-07 19:30:11.121809,2022-04-07 19:30:11.121824,8,3
-1,2022-04-07 19:30:31.142041,2022-04-07 19:30:31.142053,8,4
-1,2022-04-07 19:30:51.161778,2022-04-07 19:30:51.161791,8,5
0.5,2022-04-07 19:29:13.644777,2022-04-07 19:29:39.644777,1,
0.5,2022-04-07 19:29:39.644777,2022-04-07 19:29:59.644777,2,
0.5,2022-04-07 19:29:59.644777,2022-04-07 19:30:17.644777,1,
0.5,2022-04-07 19:30:17.644777,2022-04-07 19:30:35.644777,2,
0.5,2022-04-07 19:30:35.644777,2022-04-07 19:30:53.644777,1,
1,2022-04-07 19:31:09.857384,2022-04-07 19:31:52.762061,3,1
2,2022-04-07 19:31:13.062799,2022-04-07 19:38:57.914992,3,2
3,2022-04-07 19:31:16.244672,2022-04-07 19:38:45.142857,3,3
4,2022-04-07 19:31:19.346430,2022-04-07 19:38:54.090687,3,4
5,2022-04-07 19:31:22.697182,2022-04-07 19:39:12.201617,3,5
1,2022-04-07 19:31:52.762067,2022-04-07 19:39:02.196584,4,1
-1,2022-04-07 19:31:52.762230,2022-04-07 19:31:52.762240,8,6
-1,2022-04-07 19:32:12.781788,2022-04-07 19:32:12.781808,8,7
-1,2022-04-07 19:32:32.802013,2022-04-07 19:32:32.802034,8,8
-1,2022-04-07 19:32:52.821781,2022-04-07 19:32:52.821802,8,9
-1,2022-04-07 19:33:12.841834,2022-04-07 19:33:12.841859,8,10
-1,2022-04-07 19:33:32.861809,2022-04-07 19:33:32.861831,8,11
-1,2022-04-07 19:33:52.881833,2022-04-07 19:33:52.881859,8,12
-1,2022-04-07 19:34:12.902027,2022-04-07 19:34:12.902069,8,13
-1,2022-04-07 19:34:32.921817,2022-04-07 19:34:32.921841,8,14
-1,2022-04-07 19:34:52.941827,2022-04-07 19:34:52.941855,8,15
3.5,2022-04-07 19:31:16.244672,2022-04-07 19:32:54.244672,1,
3.5,2022-04-07 19:32:54.244672,2022-04-07 19:34:22.244672,2,
3.5,2022-04-07 19:34:22.244672,2022-04-07 19:35:48.244672,1,
3.5,2022-04-07 19:35:48.244672,2022-04-07 19:37:14.244672,2,
3.5,2022-04-07 19:37:14.244672,2022-04-07 19:38:40.244672,1,
