Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,original,0,1,7,1,15,2022-04-07 19:29:11.064143,2022-04-07 19:29:13.644764,2022-04-07 19:30:57.269468,,,,,,,,,,,,,0,0,0,0,,,
keras_example_resnet,max_prop,original,3,1,7,1,2,2022-04-07 19:30:11.121778,2022-04-07 19:31:16.244659,2022-04-07 19:38:45.142794,,,,,,,,,,,,,0,0,0,3,,,
keras_example_resnet,max_prop,original,4,1,7,1,2,2022-04-07 19:30:31.142016,2022-04-07 19:31:19.346415,2022-04-07 19:38:54.090626,,,,,,,,,,,,,0,0,0,4,,,
keras_example_resnet,max_prop,original,2,1,7,1,2,2022-04-07 19:29:51.101777,2022-04-07 19:31:13.062784,2022-04-07 19:38:57.914927,,,,,,,,,,,,,0,0,0,2,,,
keras_example_resnet,max_prop,original,1,1,7,1,2,2022-04-07 19:29:31.081827,2022-04-07 19:31:09.857367,2022-04-07 19:39:02.196525,2022-04-07 19:31:52.762038,1,3,,,,,,,,,,1,0,0,1,,,
keras_example_resnet,max_prop,original,5,1,7,1,2,2022-04-07 19:30:51.161752,2022-04-07 19:31:22.697165,2022-04-07 19:39:14.724175,2022-04-07 19:39:12.201595,1,7,,,,,,,,,,1,0,0,5,,,
keras_example_resnet,max_prop,original,7,1,7,1,1,2022-04-07 19:32:12.781767,2022-04-07 19:39:18.758951,2022-04-07 19:51:34.916525,,,,,,,,,,,,,0,0,0,7,,,
keras_example_resnet,max_prop,original,6,1,7,1,1,2022-04-07 19:31:52.762216,2022-04-07 19:39:14.858158,2022-04-07 19:51:35.426938,,,,,,,,,,,,,0,0,0,6,,,
keras_example_resnet,max_prop,original,8,1,7,1,1,2022-04-07 19:32:32.801969,2022-04-07 19:39:21.864378,2022-04-07 19:51:45.120186,,,,,,,,,,,,,0,0,0,8,,,
keras_example_resnet,max_prop,original,9,1,7,1,1,2022-04-07 19:32:52.821759,2022-04-07 19:39:24.940016,2022-04-07 19:51:45.221153,,,,,,,,,,,,,0,0,0,9,,,
keras_example_resnet,max_prop,original,10,1,7,1,2,2022-04-07 19:33:12.841806,2022-04-07 19:51:57.766972,2022-04-07 19:59:23.687598,,,,,,,,,,,,,0,0,0,10,,,
keras_example_resnet,max_prop,original,11,1,7,1,2,2022-04-07 19:33:32.861787,2022-04-07 19:52:00.851400,2022-04-07 19:59:23.953948,,,,,,,,,,,,,0,0,0,11,,,
keras_example_resnet,max_prop,original,13,1,7,1,2,2022-04-07 19:34:12.902006,2022-04-07 19:52:07.260145,2022-04-07 19:59:52.070473,2022-04-07 19:59:33.969280,1,4,,,,,,,,,,1,0,0,13,,,
keras_example_resnet,max_prop,original,12,1,7,1,2,2022-04-07 19:33:52.881802,2022-04-07 19:52:03.981233,2022-04-07 19:59:52.149269,2022-04-07 19:59:33.969143,1,7,,,,,,,,,,1,0,0,12,,,
keras_example_resnet,max_prop,original,14,1,7,1,2,2022-04-07 19:34:32.921760,2022-04-07 19:52:10.594374,2022-04-07 19:59:58.357313,,,,,,,,,,,,,0,0,0,14,,,
keras_example_resnet,max_prop,original,15,1,7,1,15,2022-04-07 19:34:52.941796,2022-04-07 20:00:10.973260,2022-04-07 20:01:55.754283,,,,,,,,,,,,,0,0,0,15,,,
