Task,Start,Finish,Cores
-1,2021-12-15 15:51:45.777757,2021-12-15 15:51:46.778832,8
0,2021-12-15 15:51:49.242810,2021-12-15 15:58:29.598656,8
-1,2021-12-15 15:52:06.799219,2021-12-15 15:52:07.800315,8
1,2021-12-15 15:52:10.785297,2021-12-15 16:00:30.313933,8
-1,2021-12-15 15:52:27.817441,2021-12-15 15:52:28.818521,8
2,2021-12-15 15:52:31.929122,2021-12-15 16:02:40.162601,8
-1,2021-12-15 15:52:48.837460,2021-12-15 15:52:49.838527,8
3,2021-12-15 15:52:52.971707,2021-12-15 16:03:37.201336,8
-1,2021-12-15 15:53:09.857474,2021-12-15 15:53:10.858540,8
4,2021-12-15 15:53:14.008286,2021-12-15 16:04:50.736748,8
-1,2021-12-15 15:53:30.877507,2021-12-15 15:53:31.878565,8
5,2021-12-15 15:53:35.110003,2021-12-15 16:05:21.581610,8
-1,2021-12-15 15:53:51.897502,2021-12-15 15:53:52.898585,8
6,2021-12-15 15:53:56.369203,2021-12-15 16:05:46.249341,8
-1,2021-12-15 15:54:12.917471,2021-12-15 15:54:13.918547,8
7,2021-12-15 15:54:17.528325,2021-12-15 16:06:17.176248,8
-1,2021-12-15 15:54:33.937534,2021-12-15 15:54:34.938602,8
8,2021-12-15 15:54:38.288105,2021-12-15 16:06:39.988163,8
-1,2021-12-15 15:54:54.957486,2021-12-15 15:54:55.958561,8
9,2021-12-15 15:54:59.293942,2021-12-15 16:06:56.813955,8
-1,2021-12-15 15:55:15.977570,2021-12-15 15:55:16.978643,8
10,2021-12-15 15:55:20.329710,2021-12-15 16:07:11.161064,8
-1,2021-12-15 15:55:36.997457,2021-12-15 15:55:37.998523,8
11,2021-12-15 15:55:41.849906,2021-12-15 16:07:17.097720,8
-1,2021-12-15 15:55:58.017463,2021-12-15 15:55:59.018527,8
12,2021-12-15 15:56:03.001387,2021-12-15 16:07:30.745104,8
-1,2021-12-15 15:56:19.037459,2021-12-15 15:56:20.038524,8
13,2021-12-15 15:56:23.974425,2021-12-15 16:07:35.867575,8
-1,2021-12-15 15:56:40.057469,2021-12-15 15:56:41.058538,8
14,2021-12-15 15:56:44.853603,2021-12-15 16:07:38.572641,8
-1,2021-12-15 15:57:01.077494,2021-12-15 15:57:02.078565,8
15,2021-12-15 15:57:06.254184,2021-12-15 16:07:40.972109,8
