Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,strict,original,0,1,7,1,7,2021-12-15 15:51:45.777746,2021-12-15 15:51:49.242796,2021-12-15 15:58:29.598639,,,,,,,,,,,,,0,0,0,0,400.355843,3.46505,3.46505
keras_example_resnet,strict,original,1,1,7,1,7,2021-12-15 15:52:06.799174,2021-12-15 15:52:10.785282,2021-12-15 16:00:30.313914,,,,,,,,,,,,,0,0,0,1,499.528632,3.986108,3.986108
keras_example_resnet,strict,original,2,1,7,1,7,2021-12-15 15:52:27.817417,2021-12-15 15:52:31.929106,2021-12-15 16:02:40.162580,,,,,,,,,,,,,0,0,0,2,608.233474,4.111689,4.111689
keras_example_resnet,strict,original,3,1,7,1,7,2021-12-15 15:52:48.837434,2021-12-15 15:52:52.971690,2021-12-15 16:03:37.201312,,,,,,,,,,,,,0,0,0,3,644.229622,4.134256,4.134256
keras_example_resnet,strict,original,4,1,7,1,7,2021-12-15 15:53:09.857436,2021-12-15 15:53:14.008267,2021-12-15 16:04:50.736724,,,,,,,,,,,,,0,0,0,4,696.728457,4.150831,4.150831
keras_example_resnet,strict,original,5,1,7,1,7,2021-12-15 15:53:30.877472,2021-12-15 15:53:35.109985,2021-12-15 16:05:21.581587,,,,,,,,,,,,,0,0,0,5,706.471602,4.232513,4.232513
keras_example_resnet,strict,original,6,1,7,1,7,2021-12-15 15:53:51.897468,2021-12-15 15:53:56.369188,2021-12-15 16:05:46.249314,,,,,,,,,,,,,0,0,0,6,709.880126,4.47172,4.47172
keras_example_resnet,strict,original,7,1,7,1,7,2021-12-15 15:54:12.917442,2021-12-15 15:54:17.528310,2021-12-15 16:06:17.176223,,,,,,,,,,,,,0,0,0,7,719.647913,4.610868,4.610868
keras_example_resnet,strict,original,8,1,7,1,7,2021-12-15 15:54:33.937503,2021-12-15 15:54:38.288089,2021-12-15 16:06:39.988138,,,,,,,,,,,,,0,0,0,8,721.700049,4.350586,4.350586
keras_example_resnet,strict,original,9,1,7,1,7,2021-12-15 15:54:54.957455,2021-12-15 15:54:59.293923,2021-12-15 16:06:56.813928,,,,,,,,,,,,,0,0,0,9,717.520005,4.336468,4.336468
keras_example_resnet,strict,original,10,1,7,1,7,2021-12-15 15:55:15.977542,2021-12-15 15:55:20.329693,2021-12-15 16:07:11.161039,,,,,,,,,,,,,0,0,0,10,710.831346,4.352151,4.352151
keras_example_resnet,strict,original,11,1,7,1,7,2021-12-15 15:55:36.997424,2021-12-15 15:55:41.849887,2021-12-15 16:07:17.097700,,,,,,,,,,,,,0,0,0,11,695.247813,4.852463,4.852463
keras_example_resnet,strict,original,12,1,7,1,7,2021-12-15 15:55:58.017432,2021-12-15 15:56:03.001368,2021-12-15 16:07:30.745078,,,,,,,,,,,,,0,0,0,12,687.74371,4.983936,4.983936
keras_example_resnet,strict,original,13,1,7,1,7,2021-12-15 15:56:19.037432,2021-12-15 15:56:23.974408,2021-12-15 16:07:35.867555,,,,,,,,,,,,,0,0,0,13,671.893147,4.936976,4.936976
keras_example_resnet,strict,original,14,1,7,1,7,2021-12-15 15:56:40.057442,2021-12-15 15:56:44.853585,2021-12-15 16:07:38.572618,,,,,,,,,,,,,0,0,0,14,653.719033,4.796143,4.796143
keras_example_resnet,strict,original,15,1,7,1,7,2021-12-15 15:57:01.077464,2021-12-15 15:57:06.254166,2021-12-15 16:07:40.972068,,,,,,,,,,,,,0,0,0,15,634.717902,5.176702,5.176702
