Task,Start,Finish,Cores
-1,2021-12-15 01:40:46.394529,2021-12-15 01:40:47.395686,8
0,2021-12-15 01:40:49.920101,2021-12-15 01:43:35.546849,8
-1,2021-12-15 01:41:07.413473,2021-12-15 01:41:08.414565,8
1,2021-12-15 01:41:11.305803,2021-12-15 01:43:57.561785,8
-1,2021-12-15 01:41:28.433464,2021-12-15 01:41:29.434566,8
-1,2021-12-15 01:41:49.441482,2021-12-15 01:41:50.442535,8
-1,2021-12-15 01:42:10.462802,2021-12-15 01:42:11.463883,8
-1,2021-12-15 01:42:31.484123,2021-12-15 01:42:32.485209,8
-1,2021-12-15 01:42:52.505443,2021-12-15 01:42:53.506500,8
-1,2021-12-15 01:43:13.525402,2021-12-15 01:43:14.526470,8
-1,2021-12-15 01:43:34.545429,2021-12-15 01:43:35.546522,8
2,2021-12-15 01:43:48.607686,2021-12-15 01:46:35.707950,8
-1,2021-12-15 01:43:55.565485,2021-12-15 01:43:56.566551,8
3,2021-12-15 01:44:10.609918,2021-12-15 01:46:56.124103,8
-1,2021-12-15 01:44:16.585450,2021-12-15 01:44:17.586551,8
-1,2021-12-15 01:44:37.605410,2021-12-15 01:44:38.606470,8
-1,2021-12-15 01:44:58.625404,2021-12-15 01:44:59.626479,8
-1,2021-12-15 01:45:19.645409,2021-12-15 01:45:20.646506,8
-1,2021-12-15 01:45:40.665517,2021-12-15 01:45:41.666593,8
-1,2021-12-15 01:46:01.685402,2021-12-15 01:46:02.686496,8
4,2021-12-15 01:46:48.711366,2021-12-15 01:49:35.290452,8
5,2021-12-15 01:47:09.207585,2021-12-15 01:49:53.559559,8
6,2021-12-15 01:49:48.369409,2021-12-15 01:52:33.528541,8
7,2021-12-15 01:50:06.624302,2021-12-15 01:52:51.216320,8
8,2021-12-15 01:52:46.562659,2021-12-15 01:55:32.302117,8
9,2021-12-15 01:53:04.259185,2021-12-15 01:55:52.525901,8
10,2021-12-15 01:55:45.001266,2021-12-15 01:58:29.223206,8
11,2021-12-15 01:56:05.257702,2021-12-15 01:58:49.360941,8
12,2021-12-15 01:58:41.856996,2021-12-15 02:01:31.528717,8
13,2021-12-15 01:59:02.053751,2021-12-15 02:01:53.584376,8
14,2021-12-15 02:01:44.114860,2021-12-15 02:04:31.182738,8
15,2021-12-15 02:02:06.374842,2021-12-15 02:04:56.149852,8
