Task,Start,Finish,Cores
-1,2021-12-16 19:14:42.607679,2021-12-16 19:14:43.608742,2
0,2021-12-16 19:14:46.210725,2021-12-16 19:16:26.981993,16
-1,2021-12-16 19:15:03.625460,2021-12-16 19:15:04.626519,2
-1,2021-12-16 19:15:24.645413,2021-12-16 19:15:25.646477,2
-1,2021-12-16 19:15:45.666713,2021-12-16 19:15:46.667769,2
-1,2021-12-16 19:16:06.688054,2021-12-16 19:16:07.689111,2
-1,2021-12-16 19:16:27.709399,2021-12-16 19:16:28.710512,2
1,2021-12-16 19:16:39.677944,2021-12-16 19:17:21.821557,2
2,2021-12-16 19:16:42.581545,2021-12-16 19:25:05.951194,2
3,2021-12-16 19:16:45.479891,2021-12-16 19:28:14.358184,2
4,2021-12-16 19:16:48.585644,2021-12-16 19:29:29.369471,2
5,2021-12-16 19:16:51.713685,2021-12-16 19:29:34.508113,2
1,2021-12-16 19:17:21.821561,2021-12-16 19:24:55.936837,8
-1,2021-12-16 19:17:21.821706,2021-12-16 19:17:22.822758,2
-1,2021-12-16 19:17:42.842993,2021-12-16 19:17:43.844045,2
-1,2021-12-16 19:18:03.864307,2021-12-16 19:18:04.865413,2
-1,2021-12-16 19:18:24.885395,2021-12-16 19:18:25.886454,2
-1,2021-12-16 19:18:45.906700,2021-12-16 19:18:46.907751,2
-1,2021-12-16 19:19:06.925426,2021-12-16 19:19:07.926479,2
-1,2021-12-16 19:19:27.946727,2021-12-16 19:19:28.947787,2
-1,2021-12-16 19:19:48.968027,2021-12-16 19:19:49.969083,2
-1,2021-12-16 19:20:09.985381,2021-12-16 19:20:10.986438,2
-1,2021-12-16 19:20:31.005391,2021-12-16 19:20:32.006448,2
2,2021-12-16 19:25:05.951203,2021-12-16 19:28:04.344985,10
3,2021-12-16 19:28:14.358194,2021-12-16 19:29:19.355226,12
4,2021-12-16 19:29:29.369481,2021-12-16 19:29:44.522435,14
4,2021-12-16 19:29:44.522439,2021-12-16 19:29:44.788450,16
6,2021-12-16 19:29:57.269318,2021-12-16 19:43:04.810098,2
7,2021-12-16 19:30:00.281719,2021-12-16 19:43:08.861184,2
8,2021-12-16 19:30:03.083381,2021-12-16 19:43:03.928066,2
9,2021-12-16 19:30:06.176970,2021-12-16 19:43:10.321995,2
10,2021-12-16 19:30:09.294943,2021-12-16 19:43:21.879714,2
11,2021-12-16 19:30:12.574247,2021-12-16 19:43:13.351913,2
12,2021-12-16 19:30:15.974372,2021-12-16 19:43:27.656296,2
13,2021-12-16 19:30:19.536680,2021-12-16 19:43:37.670428,2
13,2021-12-16 19:43:37.670432,2021-12-16 19:43:39.156500,16
14,2021-12-16 19:43:51.610407,2021-12-16 19:46:36.274561,8
15,2021-12-16 19:43:54.458889,2021-12-16 19:46:37.464713,8
