Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,maleable,0,1,1,1,15,2021-12-17 14:58:18.059625,2021-12-17 14:58:21.497176,2021-12-17 15:00:01.853698,,,,,,,,,,,,,0,0,0,0,100.356522,3.437551,3.437551
keras_example_resnet,max_prop,maleable,1,1,1,1,1,2021-12-17 14:58:39.081096,2021-12-17 15:00:14.368569,2021-12-17 15:08:33.008335,2021-12-17 15:00:56.409560,1,7,,,,,,,,,,1,0,0,1,498.639766,95.287473,95.287473
keras_example_resnet,max_prop,maleable,2,1,1,1,1,2021-12-17 14:59:00.101496,2021-12-17 15:00:17.267370,2021-12-17 15:13:14.654313,,,,,,,,,,,,,0,0,0,2,777.386943,77.165874,77.165874
keras_example_resnet,max_prop,maleable,3,1,1,1,1,2021-12-17 14:59:21.121375,2021-12-17 15:00:20.181020,2021-12-17 15:13:26.325330,,,,,,,,,,,,,0,0,0,3,786.14431,59.059645,59.059645
keras_example_resnet,max_prop,maleable,5,1,1,1,1,2021-12-17 15:00:03.162678,2021-12-17 15:00:26.309024,2021-12-17 15:13:31.117438,,,,,,,,,,,,,0,0,0,5,784.808414,23.146346,23.146346
keras_example_resnet,max_prop,maleable,4,1,1,1,1,2021-12-17 14:59:42.141368,2021-12-17 15:00:23.262174,2021-12-17 15:13:38.395875,,,,,,,,,,,,,0,0,0,4,795.133701,41.120806,41.120806
keras_example_resnet,max_prop,maleable,7,1,1,1,1,2021-12-17 15:01:17.431020,2021-12-17 15:08:49.173924,2021-12-17 15:21:58.805172,,,,,,,,,,,,,0,0,0,7,789.631248,451.742904,451.742904
keras_example_resnet,max_prop,maleable,6,1,1,1,1,2021-12-17 15:00:56.409727,2021-12-17 15:08:45.791507,2021-12-17 15:21:59.195402,,,,,,,,,,,,,0,0,0,6,793.403895,469.38178,469.38178
keras_example_resnet,max_prop,maleable,8,1,1,1,1,2021-12-17 15:01:38.449392,2021-12-17 15:08:52.698321,2021-12-17 15:22:08.336867,,,,,,,,,,,,,0,0,0,8,795.638546,434.248929,434.248929
keras_example_resnet,max_prop,maleable,9,1,1,1,1,2021-12-17 15:01:59.470687,2021-12-17 15:08:56.140601,2021-12-17 15:22:09.343948,,,,,,,,,,,,,0,0,0,9,793.203347,416.669914,416.669914
keras_example_resnet,max_prop,maleable,10,1,1,1,1,2021-12-17 15:02:20.489440,2021-12-17 15:13:27.615222,2021-12-17 15:26:32.367192,,,,,,,,,,,,,0,0,0,10,784.75197,667.125782,667.125782
keras_example_resnet,max_prop,maleable,12,1,1,1,1,2021-12-17 15:03:02.529370,2021-12-17 15:13:54.712359,2021-12-17 15:27:02.681678,,,,,,,,,,,,,0,0,0,12,787.969319,652.182989,652.182989
keras_example_resnet,max_prop,maleable,11,1,1,1,1,2021-12-17 15:02:41.509366,2021-12-17 15:13:51.268193,2021-12-17 15:27:05.291705,,,,,,,,,,,,,0,0,0,11,794.023512,669.758827,669.758827
keras_example_resnet,max_prop,maleable,13,1,1,1,1,2021-12-17 15:03:23.549372,2021-12-17 15:13:58.148386,2021-12-17 15:27:11.602984,,,,,,,,,,,,,0,0,0,13,793.454598,634.599014,634.599014
keras_example_resnet,max_prop,maleable,15,1,1,1,3,2021-12-17 15:04:05.585390,2021-12-17 15:22:25.540522,2021-12-17 15:27:30.296471,,,,,,,,,,,,,0,0,0,15,304.755949,1099.955132,1099.955132
keras_example_resnet,max_prop,maleable,14,1,1,1,3,2021-12-17 15:03:44.565406,2021-12-17 15:22:22.234867,2021-12-17 15:27:33.117288,2021-12-17 15:27:12.409553,1,3,,,,,,,,,,1,0,0,14,310.882421,1117.669461,1117.669461
