Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,original,0,1,1,1,15,2021-12-17 16:03:07.562549,2021-12-17 16:03:11.007247,2021-12-17 16:04:53.662631,,,,,,,,,,,,,0,0,0,0,102.655384,3.444698,3.444698
keras_example_resnet,max_prop,original,1,1,1,1,1,2021-12-17 16:03:28.581479,2021-12-17 16:05:06.275715,2021-12-17 16:17:26.733775,2021-12-17 16:05:48.768310,1,7,,,,,,,,,,1,0,0,1,740.45806,97.694236,97.694236
keras_example_resnet,max_prop,original,4,1,1,1,1,2021-12-17 16:04:31.641413,2021-12-17 16:05:15.566016,2021-12-17 16:17:34.683829,,,,,,,,,,,,,0,0,0,4,739.117813,43.924603,43.924603
keras_example_resnet,max_prop,original,2,1,1,1,1,2021-12-17 16:03:49.602881,2021-12-17 16:05:09.257943,2021-12-17 16:17:52.241481,,,,,,,,,,,,,0,0,0,2,762.983538,79.655062,79.655062
keras_example_resnet,max_prop,original,3,1,1,1,1,2021-12-17 16:04:10.621413,2021-12-17 16:05:12.464749,2021-12-17 16:17:54.813541,,,,,,,,,,,,,0,0,0,3,762.348792,61.843336,61.843336
keras_example_resnet,max_prop,original,5,1,1,1,1,2021-12-17 16:04:52.661397,2021-12-17 16:05:18.688527,2021-12-17 16:18:06.078065,,,,,,,,,,,,,0,0,0,5,767.389538,26.02713,26.02713
keras_example_resnet,max_prop,original,7,1,1,1,1,2021-12-17 16:06:09.789800,2021-12-17 16:17:50.447113,2021-12-17 16:30:45.009324,,,,,,,,,,,,,0,0,0,7,774.562211,700.657313,700.657313
keras_example_resnet,max_prop,original,6,1,1,1,1,2021-12-17 16:05:48.768500,2021-12-17 16:17:47.293278,2021-12-17 16:30:45.460690,,,,,,,,,,,,,0,0,0,6,778.167412,718.524778,718.524778
keras_example_resnet,max_prop,original,8,1,1,1,1,2021-12-17 16:06:30.811094,2021-12-17 16:17:53.711842,2021-12-17 16:30:46.060205,,,,,,,,,,,,,0,0,0,8,772.348363,682.900748,682.900748
keras_example_resnet,max_prop,original,9,1,1,1,1,2021-12-17 16:06:51.832395,2021-12-17 16:17:56.394274,2021-12-17 16:30:49.028921,,,,,,,,,,,,,0,0,0,9,772.634647,664.561879,664.561879
keras_example_resnet,max_prop,original,10,1,1,1,1,2021-12-17 16:07:12.853709,2021-12-17 16:17:59.491203,2021-12-17 16:30:51.040078,,,,,,,,,,,,,0,0,0,10,771.548875,646.637494,646.637494
keras_example_resnet,max_prop,original,12,1,1,1,1,2021-12-17 16:07:54.893431,2021-12-17 16:18:11.027111,2021-12-17 16:31:03.968981,,,,,,,,,,,,,0,0,0,12,772.94187,616.13368,616.13368
keras_example_resnet,max_prop,original,11,1,1,1,1,2021-12-17 16:07:33.875024,2021-12-17 16:18:08.147443,2021-12-17 16:31:07.210601,,,,,,,,,,,,,0,0,0,11,779.063158,634.272419,634.272419
keras_example_resnet,max_prop,original,13,1,1,1,1,2021-12-17 16:08:15.914719,2021-12-17 16:18:19.523260,2021-12-17 16:31:10.532892,,,,,,,,,,,,,0,0,0,13,771.009632,603.608541,603.608541
keras_example_resnet,max_prop,original,15,1,1,1,3,2021-12-17 16:08:57.942716,2021-12-17 16:31:07.807506,2021-12-17 16:35:51.777483,,,,,,,,,,,,,0,0,0,15,283.969977,1329.86479,1329.86479
keras_example_resnet,max_prop,original,14,1,1,1,3,2021-12-17 16:08:36.921399,2021-12-17 16:31:03.782871,2021-12-17 16:35:53.662242,2021-12-17 16:31:37.881653,1,3,,,,,,,,,,1,0,0,14,289.879371,1346.861472,1346.861472
