Task,Start,Finish,Cores
-1,2022-03-16 17:18:18.595618,2022-03-16 17:18:18.595626,8
0,2022-03-16 17:18:21.062495,2022-03-16 17:18:51.145665,8
0,2022-03-16 17:18:51.145668,2022-03-16 17:21:10.367324,16
-1,2022-03-16 17:19:06.702984,2022-03-16 17:19:06.702995,8
-1,2022-03-16 17:19:48.372792,2022-03-16 17:19:48.372806,8
-1,2022-03-16 17:20:24.215689,2022-03-16 17:20:24.215703,8
-1,2022-03-16 17:21:00.131625,2022-03-16 17:21:00.131638,8
0.5,2022-03-16 17:18:51.145668,2022-03-16 17:19:30.145668,1
0.5,2022-03-16 17:19:30.145668,2022-03-16 17:20:02.145668,2
0.5,2022-03-16 17:20:02.145668,2022-03-16 17:20:34.145668,1
0.5,2022-03-16 17:20:34.145668,2022-03-16 17:21:06.145668,2
0.5,2022-03-16 17:21:06.145668,2022-03-16 17:21:38.145668,1
1,2022-03-16 17:21:22.929107,2022-03-16 17:24:28.583253,8
2,2022-03-16 17:21:25.686219,2022-03-16 17:24:30.377403,8
-1,2022-03-16 17:21:39.706413,2022-03-16 17:21:39.706433,8
-1,2022-03-16 17:22:24.007601,2022-03-16 17:22:24.007620,8
-1,2022-03-16 17:22:58.003652,2022-03-16 17:22:58.003675,8
-1,2022-03-16 17:23:44.982926,2022-03-16 17:23:44.982949,8
-1,2022-03-16 17:24:26.295890,2022-03-16 17:24:26.295913,8
1.5,2022-03-16 17:21:22.929107,2022-03-16 17:22:04.929107,1
1.5,2022-03-16 17:22:04.929107,2022-03-16 17:22:41.929107,2
1.5,2022-03-16 17:22:41.929107,2022-03-16 17:23:16.929107,1
1.5,2022-03-16 17:23:16.929107,2022-03-16 17:23:51.929107,2
1.5,2022-03-16 17:23:51.929107,2022-03-16 17:24:25.929107,1
2.5,2022-03-16 17:21:25.686219,2022-03-16 17:22:07.686219,1
2.5,2022-03-16 17:22:07.686219,2022-03-16 17:22:43.686219,2
2.5,2022-03-16 17:22:43.686219,2022-03-16 17:23:17.686219,1
2.5,2022-03-16 17:23:17.686219,2022-03-16 17:23:51.686219,2
2.5,2022-03-16 17:23:51.686219,2022-03-16 17:24:25.686219,1
3,2022-03-16 17:24:42.860836,2022-03-16 17:27:35.564934,8
4,2022-03-16 17:24:45.739758,2022-03-16 17:27:37.818005,8
-1,2022-03-16 17:25:06.015694,2022-03-16 17:25:06.015724,8
-1,2022-03-16 17:25:40.663640,2022-03-16 17:25:40.663668,8
-1,2022-03-16 17:26:17.015665,2022-03-16 17:26:17.015695,8
-1,2022-03-16 17:26:58.167717,2022-03-16 17:26:58.167757,8
3.5,2022-03-16 17:24:42.860836,2022-03-16 17:25:23.860836,1
3.5,2022-03-16 17:25:23.860836,2022-03-16 17:25:55.860836,2
3.5,2022-03-16 17:25:55.860836,2022-03-16 17:26:27.860836,1
3.5,2022-03-16 17:26:27.860836,2022-03-16 17:26:59.860836,2
3.5,2022-03-16 17:26:59.860836,2022-03-16 17:27:31.860836,1
-1,2022-03-16 17:27:37.787660,2022-03-16 17:27:37.787690,8
4.5,2022-03-16 17:24:45.739758,2022-03-16 17:25:26.739758,1
4.5,2022-03-16 17:25:26.739758,2022-03-16 17:25:58.739758,2
4.5,2022-03-16 17:25:58.739758,2022-03-16 17:26:30.739758,1
4.5,2022-03-16 17:26:30.739758,2022-03-16 17:27:02.739758,2
4.5,2022-03-16 17:27:02.739758,2022-03-16 17:27:34.739758,1
5,2022-03-16 17:27:50.324032,2022-03-16 17:30:38.933556,8
