Task,Start,Finish,Cores
-1,2022-03-15 21:45:51.318697,2022-03-15 21:45:52.319786,8
0,2022-03-15 21:45:54.858643,2022-03-15 21:46:24.943802,8
0,2022-03-15 21:46:24.943814,2022-03-15 21:50:55.333540,16
-1,2022-03-15 21:46:40.368216,2022-03-15 21:46:41.369290,8
1,2022-03-15 21:46:44.276290,2022-03-15 21:50:49.406196,8
-1,2022-03-15 21:47:22.411409,2022-03-15 21:47:23.411562,8
2,2022-03-15 21:47:26.486473,2022-03-15 21:53:06.582027,8
-1,2022-03-15 21:47:58.447661,2022-03-15 21:47:59.448744,8
3,2022-03-15 21:48:02.483176,2022-03-15 21:54:35.835681,8
-1,2022-03-15 21:48:34.483662,2022-03-15 21:48:35.484789,8
4,2022-03-15 21:48:38.570790,2022-03-15 21:55:56.264319,8
-1,2022-03-15 21:49:14.523665,2022-03-15 21:49:15.524769,8
5,2022-03-15 21:49:18.739143,2022-03-15 21:57:47.696589,8
-1,2022-03-15 21:49:59.567617,2022-03-15 21:50:00.568727,8
6,2022-03-15 21:50:03.939631,2022-03-15 22:00:01.406829,8
-1,2022-03-15 21:50:33.599625,2022-03-15 21:50:34.600710,8
7,2022-03-15 21:50:37.911195,2022-03-15 22:01:17.015372,8
1.5,2022-03-15 21:46:44.276290,2022-03-15 21:47:24.276290,1
1.5,2022-03-15 21:47:24.276290,2022-03-15 21:48:04.276290,2
1.5,2022-03-15 21:48:04.276290,2022-03-15 21:48:48.276290,1
1.5,2022-03-15 21:48:48.276290,2022-03-15 21:49:40.276290,2
1.5,2022-03-15 21:49:40.276290,2022-03-15 21:50:46.276290,1
-1,2022-03-15 21:51:20.643628,2022-03-15 21:51:21.644768,8
8,2022-03-15 21:51:25.134808,2022-03-15 22:03:41.902830,8
-3,2022-03-15 21:51:37.447661,2022-03-15 21:51:38.448766,0
0,2022-03-15 21:51:41.846340,2022-03-15 22:04:16.695241,16
-1,2022-03-15 21:52:02.683638,2022-03-15 21:52:03.684751,8
9,2022-03-15 21:52:07.594959,2022-03-15 22:05:00.038421,8
-1,2022-03-15 21:52:42.723640,2022-03-15 21:52:43.724775,8
10,2022-03-15 21:52:47.372762,2022-03-15 22:06:50.569682,8
2.5,2022-03-15 21:47:26.486473,2022-03-15 21:48:21.486473,1
2.5,2022-03-15 21:48:21.486473,2022-03-15 21:49:14.486473,2
2.5,2022-03-15 21:49:14.486473,2022-03-15 21:50:12.486473,1
2.5,2022-03-15 21:50:12.486473,2022-03-15 21:51:25.486473,2
2.5,2022-03-15 21:51:25.486473,2022-03-15 21:53:01.486473,1
-1,2022-03-15 21:53:17.759679,2022-03-15 21:53:18.760795,8
11,2022-03-15 21:53:22.463937,2022-03-15 22:07:55.126722,8
-1,2022-03-15 21:53:54.795624,2022-03-15 21:53:55.796736,8
12,2022-03-15 21:53:59.435455,2022-03-15 22:08:52.603848,8
3.5,2022-03-15 21:48:02.483176,2022-03-15 21:49:02.483176,1
3.5,2022-03-15 21:49:02.483176,2022-03-15 21:49:58.483176,2
3.5,2022-03-15 21:49:58.483176,2022-03-15 21:51:08.483176,1
3.5,2022-03-15 21:51:08.483176,2022-03-15 21:52:37.483176,2
3.5,2022-03-15 21:52:37.483176,2022-03-15 21:54:31.483176,1
-1,2022-03-15 21:54:36.835611,2022-03-15 21:54:37.836747,8
13,2022-03-15 21:54:49.655417,2022-03-15 22:11:09.206817,8
-1,2022-03-15 21:55:16.875632,2022-03-15 21:55:17.876773,8
14,2022-03-15 21:55:21.472890,2022-03-15 22:12:18.346250,8
4.5,2022-03-15 21:48:38.570790,2022-03-15 21:49:41.570790,1
4.5,2022-03-15 21:49:41.570790,2022-03-15 21:50:52.570790,2
4.5,2022-03-15 21:50:52.570790,2022-03-15 21:52:07.570790,1
4.5,2022-03-15 21:52:07.570790,2022-03-15 21:53:50.570790,2
4.5,2022-03-15 21:53:50.570790,2022-03-15 21:55:52.570790,1
-1,2022-03-15 21:56:00.919628,2022-03-15 21:56:01.920733,8
15,2022-03-15 21:56:10.259691,2022-03-15 22:14:14.567430,8
-1,2022-03-15 21:56:29.947660,2022-03-15 21:56:30.948803,8
16,2022-03-15 21:56:34.818141,2022-03-15 22:14:19.837404,8
-1,2022-03-15 21:57:08.987636,2022-03-15 21:57:09.988774,8
17,2022-03-15 21:57:13.682175,2022-03-15 22:15:18.279216,8
5.5,2022-03-15 21:49:18.739143,2022-03-15 21:50:34.739143,1
5.5,2022-03-15 21:50:34.739143,2022-03-15 21:51:45.739143,2
5.5,2022-03-15 21:51:45.739143,2022-03-15 21:53:23.739143,1
5.5,2022-03-15 21:53:23.739143,2022-03-15 21:55:19.739143,2
5.5,2022-03-15 21:55:19.739143,2022-03-15 21:57:43.739143,1
-1,2022-03-15 21:57:51.035632,2022-03-15 21:57:52.036800,8
18,2022-03-15 21:58:02.071729,2022-03-15 22:17:45.762455,8
-1,2022-03-15 21:58:26.071645,2022-03-15 21:58:27.072790,8
19,2022-03-15 21:58:31.002166,2022-03-15 22:18:03.412024,8
-1,2022-03-15 21:59:06.111619,2022-03-15 21:59:07.112768,8
20,2022-03-15 21:59:11.580470,2022-03-15 22:20:20.290521,8
-1,2022-03-15 21:59:48.151636,2022-03-15 21:59:49.152788,8
21,2022-03-15 21:59:53.401837,2022-03-15 22:04:53.921006,8
6.5,2022-03-15 21:50:03.939631,2022-03-15 21:51:31.939631,1
6.5,2022-03-15 21:51:31.939631,2022-03-15 21:53:12.939631,2
6.5,2022-03-15 21:53:12.939631,2022-03-15 21:55:09.939631,1
6.5,2022-03-15 21:55:09.939631,2022-03-15 21:57:18.939631,2
6.5,2022-03-15 21:57:18.939631,2022-03-15 21:59:57.939631,1
-1,2022-03-15 22:00:31.195692,2022-03-15 22:00:32.196832,8
22,2022-03-15 22:00:36.483726,2022-03-15 22:23:18.282336,8
