Task,Start,Finish,Cores
-1,2022-03-22 13:52:54.763374,2022-03-22 13:52:54.763383,8
0,2022-03-22 13:52:57.552632,2022-03-22 13:54:38.066003,16
-1,2022-03-22 13:53:29.574425,2022-03-22 13:53:29.574435,8
-1,2022-03-22 13:54:13.973799,2022-03-22 13:54:13.973810,8
0.5,2022-03-22 13:52:57.552632,2022-03-22 13:53:22.552632,1
0.5,2022-03-22 13:53:22.552632,2022-03-22 13:53:40.552632,2
0.5,2022-03-22 13:53:40.552632,2022-03-22 13:53:58.552632,1
0.5,2022-03-22 13:53:58.552632,2022-03-22 13:54:16.552632,2
0.5,2022-03-22 13:54:16.552632,2022-03-22 13:54:34.552632,1
1,2022-03-22 13:54:50.624004,2022-03-22 13:57:31.986108,8
2,2022-03-22 13:54:53.646281,2022-03-22 13:57:36.691647,8
-1,2022-03-22 13:54:53.694214,2022-03-22 13:54:53.694229,8
-1,2022-03-22 13:55:42.581759,2022-03-22 13:55:42.581775,8
-1,2022-03-22 13:56:28.801759,2022-03-22 13:56:28.801775,8
-1,2022-03-22 13:57:10.129755,2022-03-22 13:57:10.129774,8
1.5,2022-03-22 13:54:50.624004,2022-03-22 13:55:26.624004,1
1.5,2022-03-22 13:55:26.624004,2022-03-22 13:55:56.624004,2
1.5,2022-03-22 13:55:56.624004,2022-03-22 13:56:27.624004,1
1.5,2022-03-22 13:56:27.624004,2022-03-22 13:56:59.624004,2
1.5,2022-03-22 13:56:59.624004,2022-03-22 13:57:28.624004,1
2.5,2022-03-22 13:54:53.646281,2022-03-22 13:55:31.646281,1
2.5,2022-03-22 13:55:31.646281,2022-03-22 13:56:02.646281,2
2.5,2022-03-22 13:56:02.646281,2022-03-22 13:56:34.646281,1
2.5,2022-03-22 13:56:34.646281,2022-03-22 13:57:04.646281,2
2.5,2022-03-22 13:57:04.646281,2022-03-22 13:57:33.646281,1
3,2022-03-22 13:57:49.258384,2022-03-22 14:02:45.328595,4
4,2022-03-22 13:57:52.353246,2022-03-22 14:00:52.663717,4
5,2022-03-22 13:57:55.440724,2022-03-22 14:03:08.526807,4
6,2022-03-22 13:57:58.578082,2022-03-22 14:03:08.295356,4
-1,2022-03-22 13:57:59.569816,2022-03-22 13:57:59.569836,8
-1,2022-03-22 13:58:32.953773,2022-03-22 13:58:32.953794,8
-1,2022-03-22 13:59:13.409758,2022-03-22 13:59:13.409781,8
-1,2022-03-22 13:59:56.981757,2022-03-22 13:59:56.981780,8
-1,2022-03-22 14:00:40.255613,2022-03-22 14:00:40.255636,8
-1,2022-03-22 14:01:21.693856,2022-03-22 14:01:21.693890,8
