Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,maleable,0,1,7,1,15,2022-03-22 13:52:54.763362,2022-03-22 13:52:57.552607,2022-03-22 13:54:38.065961,,,,,,,,,,,,,0,0,0,0,,,
keras_example_resnet,max_prop,maleable,1,1,7,1,7,2022-03-22 13:53:29.574403,2022-03-22 13:54:50.623993,2022-03-22 13:57:31.986056,,,,,,,,,,,,,0,0,0,1,,,
keras_example_resnet,max_prop,maleable,2,1,7,1,7,2022-03-22 13:54:13.973779,2022-03-22 13:54:53.646265,2022-03-22 13:57:36.691608,,,,,,,,,,,,,0,0,0,2,,,
keras_example_resnet,max_prop,maleable,3,1,7,1,3,2022-03-22 13:54:53.694193,2022-03-22 13:57:49.258372,2022-03-22 14:02:45.328541,,,,,,,,,,,,,0,0,0,3,,,
keras_example_resnet,max_prop,maleable,6,1,7,1,3,2022-03-22 13:57:10.129733,2022-03-22 13:57:58.578068,2022-03-22 14:03:08.295297,,,,,,,,,,,,,0,0,0,6,,,
keras_example_resnet,max_prop,maleable,5,1,7,1,3,2022-03-22 13:56:28.801739,2022-03-22 13:57:55.440711,2022-03-22 14:03:08.526744,,,,,,,,,,,,,0,0,0,5,,,
keras_example_resnet,max_prop,maleable,11,1,7,1,2,2022-03-22 14:00:40.255592,2022-03-22 14:03:21.502540,2022-03-22 14:10:23.835706,,,,,,,,,,,,,0,0,0,11,,,
keras_example_resnet,max_prop,maleable,12,1,7,1,2,2022-03-22 14:01:21.693826,2022-03-22 14:03:25.002701,2022-03-22 14:10:33.587911,,,,,,,,,,,,,0,0,0,12,,,
keras_example_resnet,max_prop,maleable,7,1,7,1,1,2022-03-22 13:57:59.569784,2022-03-22 14:01:38.621473,2022-03-22 14:14:46.434983,,,,,,,,,,,,,0,0,0,7,,,
keras_example_resnet,max_prop,maleable,8,1,7,1,1,2022-03-22 13:58:32.953751,2022-03-22 14:01:42.163260,2022-03-22 14:14:55.706468,,,,,,,,,,,,,0,0,0,8,,,
keras_example_resnet,max_prop,maleable,9,1,7,1,1,2022-03-22 13:59:13.409735,2022-03-22 14:02:58.393416,2022-03-22 14:16:14.326259,,,,,,,,,,,,,0,0,0,9,,,
keras_example_resnet,max_prop,maleable,10,1,7,1,1,2022-03-22 13:59:56.981735,2022-03-22 14:03:01.935789,2022-03-22 14:16:14.471497,,,,,,,,,,,,,0,0,0,10,,,
keras_example_resnet,max_prop,maleable,4,1,7,1,1,2022-03-22 13:55:42.581734,2022-03-22 14:03:28.484433,2022-03-22 14:16:41.462701,,,,,,,,,,,,,0,0,0,4,,,
keras_example_resnet,max_prop,maleable,13,1,7,1,1,2022-03-22 14:02:01.077801,2022-03-22 14:10:46.463305,2022-03-22 14:23:56.143381,,,,,,,,,,,,,0,0,0,13,,,
keras_example_resnet,max_prop,maleable,14,1,7,1,1,2022-03-22 14:02:42.993731,2022-03-22 14:10:50.145355,2022-03-22 14:23:56.896327,,,,,,,,,,,,,0,0,0,14,,,
keras_example_resnet,max_prop,maleable,15,1,7,1,1,2022-03-22 14:03:28.557148,2022-03-22 14:10:53.711837,2022-03-22 14:24:01.587555,,,,,,,,,,,,,0,0,0,15,,,
keras_example_resnet,max_prop,maleable,16,1,7,1,1,2022-03-22 14:04:05.893741,2022-03-22 14:15:08.688878,2022-03-22 14:28:15.662089,,,,,,,,,,,,,0,0,0,16,,,
keras_example_resnet,max_prop,maleable,17,1,7,1,1,2022-03-22 14:04:43.949745,2022-03-22 14:15:12.174997,2022-03-22 14:28:21.380506,,,,,,,,,,,,,0,0,0,17,,,
keras_example_resnet,max_prop,maleable,18,1,7,1,1,2022-03-22 14:05:21.504166,2022-03-22 14:16:27.400629,2022-03-22 14:29:31.958177,,,,,,,,,,,,,0,0,0,18,,,
keras_example_resnet,max_prop,maleable,19,1,7,1,1,2022-03-22 14:05:58.861750,2022-03-22 14:16:31.168868,2022-03-22 14:29:38.492344,,,,,,,,,,,,,0,0,0,19,,,
keras_example_resnet,max_prop,maleable,20,1,7,1,1,2022-03-22 14:06:35.765762,2022-03-22 14:16:54.781825,2022-03-22 14:30:01.527509,,,,,,,,,,,,,0,0,0,20,,,
keras_example_resnet,max_prop,maleable,21,1,7,1,1,2022-03-22 14:07:17.317731,2022-03-22 14:24:14.495132,2022-03-22 14:37:17.502416,,,,,,,,,,,,,0,0,0,21,,,
keras_example_resnet,max_prop,maleable,22,1,7,1,1,2022-03-22 14:07:54.928156,2022-03-22 14:24:18.109981,2022-03-22 14:37:29.991420,,,,,,,,,,,,,0,0,0,22,,,
keras_example_resnet,max_prop,maleable,23,1,7,1,1,2022-03-22 14:08:31.889726,2022-03-22 14:24:21.691641,2022-03-22 14:37:32.155019,,,,,,,,,,,,,0,0,0,23,,,
keras_example_resnet,max_prop,maleable,24,1,7,1,1,2022-03-22 14:09:18.543712,2022-03-22 14:28:34.392653,2022-03-22 14:41:38.773713,,,,,,,,,,,,,0,0,0,24,,,
keras_example_resnet,max_prop,maleable,25,1,7,1,1,2022-03-22 14:09:52.161730,2022-03-22 14:28:38.022876,2022-03-22 14:41:55.023091,,,,,,,,,,,,,0,0,0,25,,,
keras_example_resnet,max_prop,maleable,26,1,7,1,1,2022-03-22 14:10:22.801733,2022-03-22 14:29:51.687752,2022-03-22 14:42:56.809063,,,,,,,,,,,,,0,0,0,26,,,
keras_example_resnet,max_prop,maleable,27,1,7,1,1,2022-03-22 14:11:03.452425,2022-03-22 14:29:55.071776,2022-03-22 14:43:09.747641,,,,,,,,,,,,,0,0,0,27,,,
keras_example_resnet,max_prop,maleable,28,1,7,1,1,2022-03-22 14:11:42.261736,2022-03-22 14:30:14.630566,2022-03-22 14:43:21.773104,,,,,,,,,,,,,0,0,0,28,,,
keras_example_resnet,max_prop,maleable,29,1,7,1,1,2022-03-22 14:12:19.757729,2022-03-22 14:37:30.566652,2022-03-22 14:50:41.727866,,,,,,,,,,,,,0,0,0,29,,,
keras_example_resnet,max_prop,maleable,30,1,7,1,1,2022-03-22 14:12:58.313694,2022-03-22 14:37:45.094478,2022-03-22 14:50:49.923987,,,,,,,,,,,,,0,0,0,30,,,
keras_example_resnet,max_prop,maleable,31,1,7,1,1,2022-03-22 14:13:36.545752,2022-03-22 14:37:48.609528,2022-03-22 14:50:50.865600,,,,,,,,,,,,,0,0,0,31,,,
keras_example_resnet,max_prop,maleable,32,1,7,1,1,2022-03-22 14:14:21.497837,2022-03-22 14:41:51.798378,2022-03-22 14:54:58.132109,,,,,,,,,,,,,0,0,0,32,,,
keras_example_resnet,max_prop,maleable,33,1,7,1,1,2022-03-22 14:15:02.261742,2022-03-22 14:42:08.133617,2022-03-22 14:55:13.040090,,,,,,,,,,,,,0,0,0,33,,,
keras_example_resnet,max_prop,maleable,34,1,7,1,1,2022-03-22 14:15:38.725789,2022-03-22 14:43:09.822539,2022-03-22 14:56:10.865481,,,,,,,,,,,,,0,0,0,34,,,
keras_example_resnet,max_prop,maleable,35,1,7,1,1,2022-03-22 14:16:23.461731,2022-03-22 14:43:22.805171,2022-03-22 14:56:28.552868,,,,,,,,,,,,,0,0,0,35,,,
keras_example_resnet,max_prop,maleable,36,1,7,1,1,2022-03-22 14:17:06.445774,2022-03-22 14:43:34.911813,2022-03-22 14:56:40.355148,,,,,,,,,,,,,0,0,0,36,,,
keras_example_resnet,max_prop,maleable,37,1,7,1,1,2022-03-22 14:17:44.561736,2022-03-22 14:51:03.898449,2022-03-22 15:04:06.938691,,,,,,,,,,,,,0,0,0,37,,,
keras_example_resnet,max_prop,maleable,38,1,7,1,1,2022-03-22 14:18:32.233752,2022-03-22 14:51:07.265400,2022-03-22 15:04:13.043680,,,,,,,,,,,,,0,0,0,38,,,
keras_example_resnet,max_prop,maleable,39,1,7,1,1,2022-03-22 14:19:15.433723,2022-03-22 14:51:10.818368,2022-03-22 15:04:18.343878,,,,,,,,,,,,,0,0,0,39,,,
keras_example_resnet,max_prop,maleable,40,1,7,1,1,2022-03-22 14:19:53.102068,2022-03-22 14:55:11.054798,2022-03-22 15:08:18.663986,,,,,,,,,,,,,0,0,0,40,,,
keras_example_resnet,max_prop,maleable,41,1,7,1,1,2022-03-22 14:20:27.565736,2022-03-22 14:55:26.142319,2022-03-22 15:08:32.069537,,,,,,,,,,,,,0,0,0,41,,,
keras_example_resnet,max_prop,maleable,42,1,7,1,1,2022-03-22 14:21:06.601731,2022-03-22 14:56:23.911040,2022-03-22 15:09:32.139793,,,,,,,,,,,,,0,0,0,42,,,
keras_example_resnet,max_prop,maleable,43,1,7,1,1,2022-03-22 14:21:47.169733,2022-03-22 14:56:41.607258,2022-03-22 15:09:45.454532,,,,,,,,,,,,,0,0,0,43,,,
keras_example_resnet,max_prop,maleable,44,1,7,1,1,2022-03-22 14:22:29.749735,2022-03-22 14:56:53.404914,2022-03-22 15:09:59.256370,,,,,,,,,,,,,0,0,0,44,,,
keras_example_resnet,max_prop,maleable,45,1,7,1,1,2022-03-22 14:23:16.037733,2022-03-22 15:04:31.297571,2022-03-22 15:17:32.476535,,,,,,,,,,,,,0,0,0,45,,,
