Task,Start,Finish,Cores
-1,2022-03-22 01:34:51.577156,2022-03-22 01:34:52.578255,8
0,2022-03-22 01:34:59.768779,2022-03-22 01:36:50.386550,16
-1,2022-03-22 01:35:26.609801,2022-03-22 01:35:27.610892,8
-1,2022-03-22 01:36:11.655843,2022-03-22 01:36:12.656940,8
-1,2022-03-22 01:36:48.693550,2022-03-22 01:36:49.693670,8
0.5,2022-03-22 01:34:59.768779,2022-03-22 01:35:38.768779,1
0.5,2022-03-22 01:35:38.768779,2022-03-22 01:36:10.768779,2
0.5,2022-03-22 01:36:10.768779,2022-03-22 01:36:42.768779,1
0.5,2022-03-22 01:36:42.768779,2022-03-22 01:37:14.768779,2
0.5,2022-03-22 01:37:14.768779,2022-03-22 01:37:46.768779,1
0.5,2022-03-22 01:37:46.768779,2022-03-22 01:38:12.768779,2
0.5,2022-03-22 01:38:12.768779,2022-03-22 01:38:31.768779,1
0.5,2022-03-22 01:38:31.768779,2022-03-22 01:38:49.768779,2
0.5,2022-03-22 01:38:49.768779,2022-03-22 01:39:07.768779,1
0.5,2022-03-22 01:39:07.768779,2022-03-22 01:39:25.768779,2
1,2022-03-22 01:37:03.057426,2022-03-22 01:37:39.150056,5
2,2022-03-22 01:37:06.154610,2022-03-22 01:41:20.952500,5
3,2022-03-22 01:37:09.073128,2022-03-22 01:41:02.665062,5
1,2022-03-22 01:37:39.150062,2022-03-22 01:41:17.558302,9
-1,2022-03-22 01:37:39.150304,2022-03-22 01:37:40.151396,8
-1,2022-03-22 01:38:26.198093,2022-03-22 01:38:27.199196,8
-1,2022-03-22 01:39:08.237808,2022-03-22 01:39:09.238883,8
-1,2022-03-22 01:39:58.285780,2022-03-22 01:39:59.286859,8
-1,2022-03-22 01:40:32.317767,2022-03-22 01:40:33.318873,8
3.5,2022-03-22 01:37:09.073128,2022-03-22 01:37:50.073128,1
3.5,2022-03-22 01:37:50.073128,2022-03-22 01:38:22.073128,2
3.5,2022-03-22 01:38:22.073128,2022-03-22 01:38:54.073128,1
3.5,2022-03-22 01:38:54.073128,2022-03-22 01:39:26.073128,2
3.5,2022-03-22 01:39:26.073128,2022-03-22 01:39:58.073128,1
