Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,original,0,1,7,1,15,2022-03-22 01:34:51.577145,2022-03-22 01:34:59.768767,2022-03-22 01:36:50.386507,,,,,,,,,,,,,0,0,0,0,,,
keras_example_resnet,max_prop,original,3,1,7,1,4,2022-03-22 01:36:48.693531,2022-03-22 01:37:09.073116,2022-03-22 01:41:02.665004,,,,,,,,,,,,,0,0,0,3,,,
keras_example_resnet,max_prop,original,1,1,7,1,4,2022-03-22 01:35:26.609777,2022-03-22 01:37:03.057414,2022-03-22 01:41:17.558230,2022-03-22 01:37:39.150029,1,8,,,,,,,,,,1,0,0,1,,,
keras_example_resnet,max_prop,original,2,1,7,1,4,2022-03-22 01:36:11.655813,2022-03-22 01:37:06.154596,2022-03-22 01:41:20.952441,,,,,,,,,,,,,0,0,0,2,,,
keras_example_resnet,max_prop,original,6,1,7,1,3,2022-03-22 01:39:08.237784,2022-03-22 01:41:33.536427,2022-03-22 01:47:00.430031,,,,,,,,,,,,,0,0,0,6,,,
keras_example_resnet,max_prop,original,7,1,7,1,3,2022-03-22 01:39:58.285761,2022-03-22 01:41:36.528055,2022-03-22 01:47:04.511690,,,,,,,,,,,,,0,0,0,7,,,
keras_example_resnet,max_prop,original,8,1,7,1,3,2022-03-22 01:40:32.317744,2022-03-22 01:41:39.668861,2022-03-22 01:47:07.540718,,,,,,,,,,,,,0,0,0,8,,,
keras_example_resnet,max_prop,original,9,1,7,1,3,2022-03-22 01:41:18.728670,2022-03-22 01:41:43.006346,2022-03-22 01:47:14.717591,,,,,,,,,,,,,0,0,0,9,,,
keras_example_resnet,max_prop,original,4,1,7,1,1,2022-03-22 01:37:39.150291,2022-03-22 01:41:15.327034,2022-03-22 01:54:48.198048,,,,,,,,,,,,,0,0,0,4,,,
keras_example_resnet,max_prop,original,5,1,7,1,1,2022-03-22 01:38:26.198073,2022-03-22 01:41:18.674882,2022-03-22 01:54:53.634307,,,,,,,,,,,,,0,0,0,5,,,
keras_example_resnet,max_prop,original,11,1,7,1,1,2022-03-22 01:42:46.813758,2022-03-22 01:47:30.609460,2022-03-22 02:00:44.203703,,,,,,,,,,,,,0,0,0,11,,,
keras_example_resnet,max_prop,original,10,1,7,1,1,2022-03-22 01:42:02.769820,2022-03-22 01:47:27.378125,2022-03-22 02:00:47.475641,,,,,,,,,,,,,0,0,0,10,,,
keras_example_resnet,max_prop,original,12,1,7,1,1,2022-03-22 01:43:28.853753,2022-03-22 01:47:33.804830,2022-03-22 02:00:53.442297,,,,,,,,,,,,,0,0,0,12,,,
keras_example_resnet,max_prop,original,13,1,7,1,1,2022-03-22 01:44:08.893753,2022-03-22 01:47:36.960433,2022-03-22 02:00:56.658427,,,,,,,,,,,,,0,0,0,13,,,
keras_example_resnet,max_prop,original,15,1,7,1,1,2022-03-22 01:45:33.973753,2022-03-22 01:47:43.517765,2022-03-22 02:00:58.518462,,,,,,,,,,,,,0,0,0,15,,,
keras_example_resnet,max_prop,original,14,1,7,1,1,2022-03-22 01:44:50.933743,2022-03-22 01:47:40.224855,2022-03-22 02:01:00.804626,,,,,,,,,,,,,0,0,0,14,,,
keras_example_resnet,max_prop,original,16,1,7,1,1,2022-03-22 01:46:12.009757,2022-03-22 01:47:46.871455,2022-03-22 02:01:02.317393,,,,,,,,,,,,,0,0,0,16,,,
