Task,Start,Finish,Cores,RequestId
-1,2022-03-29 00:31:52.255866,2022-03-29 00:31:52.255874,8,0
0,2022-03-29 00:31:54.672691,2022-03-29 00:33:38.484367,16,0
-1,2022-03-29 00:32:38.051084,2022-03-29 00:32:38.051095,8,1
-1,2022-03-29 00:33:16.853784,2022-03-29 00:33:16.853796,8,2
0.5,2022-03-29 00:31:54.672691,2022-03-29 00:32:21.672691,1,
0.5,2022-03-29 00:32:21.672691,2022-03-29 00:32:41.672691,2,
0.5,2022-03-29 00:32:41.672691,2022-03-29 00:32:59.672691,1,
0.5,2022-03-29 00:32:59.672691,2022-03-29 00:33:17.672691,2,
0.5,2022-03-29 00:33:17.672691,2022-03-29 00:33:35.672691,1,
1,2022-03-29 00:33:51.057961,2022-03-29 00:36:30.945077,8,1
2,2022-03-29 00:33:53.801160,2022-03-29 00:36:32.329554,8,2
-1,2022-03-29 00:33:53.849271,2022-03-29 00:33:53.849290,8,3
-1,2022-03-29 00:34:29.157826,2022-03-29 00:34:29.157843,8,4
-1,2022-03-29 00:35:15.645776,2022-03-29 00:35:15.645794,8,5
-1,2022-03-29 00:35:51.483814,2022-03-29 00:35:51.483844,8,6
-1,2022-03-29 00:36:29.209833,2022-03-29 00:36:29.209853,8,7
1.5,2022-03-29 00:33:51.057961,2022-03-29 00:34:27.057961,1,
1.5,2022-03-29 00:34:27.057961,2022-03-29 00:34:56.057961,2,
1.5,2022-03-29 00:34:56.057961,2022-03-29 00:35:26.057961,1,
1.5,2022-03-29 00:35:26.057961,2022-03-29 00:35:56.057961,2,
1.5,2022-03-29 00:35:56.057961,2022-03-29 00:36:27.057961,1,
2.5,2022-03-29 00:33:53.801160,2022-03-29 00:34:30.801160,1,
2.5,2022-03-29 00:34:30.801160,2022-03-29 00:34:59.801160,2,
2.5,2022-03-29 00:34:59.801160,2022-03-29 00:35:29.801160,1,
2.5,2022-03-29 00:35:29.801160,2022-03-29 00:35:59.801160,2,
2.5,2022-03-29 00:35:59.801160,2022-03-29 00:36:29.801160,1,
3,2022-03-29 00:36:44.958403,2022-03-29 00:37:26.386057,3,3
4,2022-03-29 00:36:47.759018,2022-03-29 00:43:45.541724,3,4
5,2022-03-29 00:36:50.650343,2022-03-29 00:43:52.504627,3,5
6,2022-03-29 00:36:53.467480,2022-03-29 00:44:02.519394,3,6
7,2022-03-29 00:36:56.287426,2022-03-29 00:44:02.519504,3,7
3,2022-03-29 00:37:26.386063,2022-03-29 00:43:45.615342,4,3
-1,2022-03-29 00:37:26.386260,2022-03-29 00:37:26.386275,8,8
-1,2022-03-29 00:37:55.212946,2022-03-29 00:37:55.212973,8,9
-1,2022-03-29 00:38:44.961779,2022-03-29 00:38:44.961806,8,10
-1,2022-03-29 00:39:27.101777,2022-03-29 00:39:27.101812,8,11
-1,2022-03-29 00:39:59.781784,2022-03-29 00:39:59.781811,8,12
-1,2022-03-29 00:40:49.041814,2022-03-29 00:40:49.041842,8,13
-1,2022-03-29 00:41:28.585785,2022-03-29 00:41:28.585814,8,14
-1,2022-03-29 00:42:04.725777,2022-03-29 00:42:04.725806,8,15
-1,2022-03-29 00:42:38.725776,2022-03-29 00:42:38.725804,8,16
-1,2022-03-29 00:43:17.053770,2022-03-29 00:43:17.053798,8,17
4.5,2022-03-29 00:36:47.759018,2022-03-29 00:38:14.759018,1,
4.5,2022-03-29 00:38:14.759018,2022-03-29 00:39:36.759018,2,
4.5,2022-03-29 00:39:36.759018,2022-03-29 00:40:58.759018,1,
4.5,2022-03-29 00:40:58.759018,2022-03-29 00:42:19.759018,2,
4.5,2022-03-29 00:42:19.759018,2022-03-29 00:43:40.759018,1,
5.5,2022-03-29 00:36:50.650343,2022-03-29 00:38:18.650343,1,
5.5,2022-03-29 00:38:18.650343,2022-03-29 00:39:43.650343,2,
5.5,2022-03-29 00:39:43.650343,2022-03-29 00:41:05.650343,1,
5.5,2022-03-29 00:41:05.650343,2022-03-29 00:42:27.650343,2,
5.5,2022-03-29 00:42:27.650343,2022-03-29 00:43:48.650343,1,
-1,2022-03-29 00:43:59.567620,2022-03-29 00:43:59.567656,8,18
6,2022-03-29 00:44:02.519406,2022-03-29 00:44:06.305615,8,6
7,2022-03-29 00:44:02.519509,2022-03-29 00:44:08.938843,4,7
6.5,2022-03-29 00:44:02.519406,2022-03-29 00:45:34.519406,1,
6.5,2022-03-29 00:45:34.519406,2022-03-29 00:47:01.519406,2,
6.5,2022-03-29 00:47:01.519406,2022-03-29 00:48:28.519406,1,
6.5,2022-03-29 00:48:28.519406,2022-03-29 00:49:50.519406,2,
6.5,2022-03-29 00:49:50.519406,2022-03-29 00:51:10.519406,1,
7.5,2022-03-29 00:44:02.519509,2022-03-29 00:45:36.519509,1,
7.5,2022-03-29 00:45:36.519509,2022-03-29 00:47:03.519509,2,
7.5,2022-03-29 00:47:03.519509,2022-03-29 00:48:30.519509,1,
7.5,2022-03-29 00:48:30.519509,2022-03-29 00:49:52.519509,2,
7.5,2022-03-29 00:49:52.519509,2022-03-29 00:51:11.519509,1,
8,2022-03-29 00:44:21.564078,2022-03-29 00:57:29.852416,2,8
9,2022-03-29 00:44:24.465371,2022-03-29 00:57:32.162361,2,9
10,2022-03-29 00:44:27.282433,2022-03-29 00:57:31.782712,2,10
11,2022-03-29 00:44:30.395355,2022-03-29 00:57:31.681305,2,11
12,2022-03-29 00:44:33.310344,2022-03-29 00:57:52.982006,2,12
13,2022-03-29 00:44:36.485747,2022-03-29 00:57:40.269359,2,13
14,2022-03-29 00:44:39.884203,2022-03-29 00:57:42.968921,2,14
15,2022-03-29 00:44:43.289553,2022-03-29 00:47:43.603482,2,15
-3,2022-03-29 00:44:43.377921,2022-03-29 00:44:44.379117,3,3
-1,2022-03-29 00:44:44.379472,2022-03-29 00:44:44.379495,8,19
-1,2022-03-29 00:45:25.961869,2022-03-29 00:45:25.961916,8,20
-1,2022-03-29 00:46:09.124127,2022-03-29 00:46:09.124169,8,21
-1,2022-03-29 00:46:47.813780,2022-03-29 00:46:47.813823,8,22
-1,2022-03-29 00:47:30.657777,2022-03-29 00:47:30.657822,8,23
-1,2022-03-29 00:48:22.957868,2022-03-29 00:48:22.957917,8,24
-3,2022-03-29 00:48:25.547102,2022-03-29 00:48:26.548213,15,15
16,2022-03-29 00:48:29.606904,2022-03-29 00:57:52.982133,2,16
-1,2022-03-29 00:49:01.412768,2022-03-29 00:49:01.412817,8,25
-1,2022-03-29 00:49:29.007178,2022-03-29 00:49:29.007220,8,26
-1,2022-03-29 00:50:09.153802,2022-03-29 00:50:09.153845,8,27
-1,2022-03-29 00:50:55.109771,2022-03-29 00:50:55.109813,8,28
-1,2022-03-29 00:51:34.665779,2022-03-29 00:51:34.665825,8,29
-1,2022-03-29 00:52:24.065693,2022-03-29 00:52:24.065737,8,30
-1,2022-03-29 00:53:07.357778,2022-03-29 00:53:07.357824,8,31
-1,2022-03-29 00:53:45.289162,2022-03-29 00:53:45.289210,8,32
-1,2022-03-29 00:54:21.822781,2022-03-29 00:54:21.822828,8,33
-1,2022-03-29 00:55:05.717787,2022-03-29 00:55:05.717832,8,34
-1,2022-03-29 00:55:25.529446,2022-03-29 00:55:25.529492,8,35
-1,2022-03-29 00:56:14.097779,2022-03-29 00:56:14.097824,8,36
-1,2022-03-29 00:56:55.754227,2022-03-29 00:56:55.754275,8,37
8.5,2022-03-29 00:44:21.564078,2022-03-29 00:46:59.564078,1,
8.5,2022-03-29 00:46:59.564078,2022-03-29 00:49:36.564078,2,
8.5,2022-03-29 00:49:36.564078,2022-03-29 00:52:13.564078,1,
8.5,2022-03-29 00:52:13.564078,2022-03-29 00:54:50.564078,2,
8.5,2022-03-29 00:54:50.564078,2022-03-29 00:57:27.564078,1,
-1,2022-03-29 00:57:30.913794,2022-03-29 00:57:30.913844,8,38
11.5,2022-03-29 00:44:30.395355,2022-03-29 00:47:05.395355,1,
11.5,2022-03-29 00:47:05.395355,2022-03-29 00:49:40.395355,2,
11.5,2022-03-29 00:49:40.395355,2022-03-29 00:52:16.395355,1,
11.5,2022-03-29 00:52:16.395355,2022-03-29 00:54:52.395355,2,
11.5,2022-03-29 00:54:52.395355,2022-03-29 00:57:28.395355,1,
10.5,2022-03-29 00:44:27.282433,2022-03-29 00:47:05.282433,1,
10.5,2022-03-29 00:47:05.282433,2022-03-29 00:49:41.282433,2,
10.5,2022-03-29 00:49:41.282433,2022-03-29 00:52:17.282433,1,
10.5,2022-03-29 00:52:17.282433,2022-03-29 00:54:53.282433,2,
10.5,2022-03-29 00:54:53.282433,2022-03-29 00:57:28.282433,1,
9.5,2022-03-29 00:44:24.465371,2022-03-29 00:47:02.465371,1,
9.5,2022-03-29 00:47:02.465371,2022-03-29 00:49:38.465371,2,
9.5,2022-03-29 00:49:38.465371,2022-03-29 00:52:14.465371,1,
9.5,2022-03-29 00:52:14.465371,2022-03-29 00:54:53.465371,2,
9.5,2022-03-29 00:54:53.465371,2022-03-29 00:57:28.465371,1,
13.5,2022-03-29 00:44:36.485747,2022-03-29 00:47:13.485747,1,
13.5,2022-03-29 00:47:13.485747,2022-03-29 00:49:49.485747,2,
