Task,Start,Finish,Cores,RequestId
-1,2022-03-25 19:12:05.043272,2022-03-25 19:12:06.044345,8,0
0,2022-03-25 19:12:08.659457,2022-03-25 19:13:49.901562,16,0
-1,2022-03-25 19:12:51.089904,2022-03-25 19:12:52.090973,8,1
-1,2022-03-25 19:13:30.129759,2022-03-25 19:13:31.130824,8,2
0.5,2022-03-25 19:12:08.659457,2022-03-25 19:12:35.659457,1,
0.5,2022-03-25 19:12:35.659457,2022-03-25 19:12:55.659457,2,
0.5,2022-03-25 19:12:55.659457,2022-03-25 19:13:13.659457,1,
0.5,2022-03-25 19:13:13.659457,2022-03-25 19:13:31.659457,2,
0.5,2022-03-25 19:13:31.659457,2022-03-25 19:13:49.659457,1,
0.5,2022-03-25 19:13:49.659457,2022-03-25 19:14:14.659457,2,
0.5,2022-03-25 19:14:14.659457,2022-03-25 19:14:33.659457,1,
0.5,2022-03-25 19:14:33.659457,2022-03-25 19:14:51.659457,2,
0.5,2022-03-25 19:14:51.659457,2022-03-25 19:15:09.659457,1,
0.5,2022-03-25 19:15:09.659457,2022-03-25 19:15:27.659457,2,
0.5,2022-03-25 19:15:27.659457,2022-03-25 19:15:52.659457,1,
0.5,2022-03-25 19:15:52.659457,2022-03-25 19:16:11.659457,2,
0.5,2022-03-25 19:16:11.659457,2022-03-25 19:16:29.659457,1,
0.5,2022-03-25 19:16:29.659457,2022-03-25 19:16:47.659457,2,
0.5,2022-03-25 19:16:47.659457,2022-03-25 19:17:05.659457,1,
1,2022-03-25 19:14:02.606900,2022-03-25 19:17:07.240840,8,1
2,2022-03-25 19:14:05.802873,2022-03-25 19:17:10.711870,8,2
-1,2022-03-25 19:14:05.849605,2022-03-25 19:14:06.850769,8,3
-1,2022-03-25 19:14:41.885865,2022-03-25 19:14:42.886957,8,4
-1,2022-03-25 19:15:28.933769,2022-03-25 19:15:29.934865,8,5
-1,2022-03-25 19:16:04.970494,2022-03-25 19:16:05.971546,8,6
-1,2022-03-25 19:16:43.009091,2022-03-25 19:16:44.009718,8,7
1.5,2022-03-25 19:14:02.606900,2022-03-25 19:14:41.606900,1,
1.5,2022-03-25 19:14:41.606900,2022-03-25 19:15:15.606900,2,
1.5,2022-03-25 19:15:15.606900,2022-03-25 19:15:47.606900,1,
1.5,2022-03-25 19:15:47.606900,2022-03-25 19:16:19.606900,2,
1.5,2022-03-25 19:16:19.606900,2022-03-25 19:16:51.606900,1,
1.5,2022-03-25 19:16:51.606900,2022-03-25 19:17:32.606900,2,
1.5,2022-03-25 19:17:32.606900,2022-03-25 19:18:06.606900,1,
1.5,2022-03-25 19:18:06.606900,2022-03-25 19:18:38.606900,2,
1.5,2022-03-25 19:18:38.606900,2022-03-25 19:19:10.606900,1,
1.5,2022-03-25 19:19:10.606900,2022-03-25 19:19:42.606900,2,
1.5,2022-03-25 19:19:42.606900,2022-03-25 19:20:24.606900,1,
1.5,2022-03-25 19:20:24.606900,2022-03-25 19:21:01.606900,2,
1.5,2022-03-25 19:21:01.606900,2022-03-25 19:21:35.606900,1,
