Task,Start,Finish,Cores,RequestId
-1,2022-07-19 16:45:09.052540,2022-07-19 16:45:09.054473,6,0
0,2022-07-19 16:45:11.458859,2022-07-19 16:46:11.562653,6,0
-1,2022-07-19 16:45:24.514910,2022-07-19 16:45:24.515056,6,1
1,2022-07-19 16:45:27.169872,2022-07-19 16:46:17.095426,6,1
-1,2022-07-19 16:45:42.193272,2022-07-19 16:45:42.193411,6,2
2,2022-07-19 16:45:45.225575,2022-07-19 16:46:27.251794,4,2
-1,2022-07-19 16:46:00.197314,2022-07-19 16:46:00.197457,6,3
1.5,2022-07-19 16:45:27.169872,2022-07-19 16:45:54.169872,1,
1.5,2022-07-19 16:45:54.169872,2022-07-19 16:46:13.169872,2,
-1,2022-07-19 16:46:19.053316,2022-07-19 16:46:19.053419,6,4
2,2022-07-19 16:46:27.251801,2022-07-19 16:46:45.036591,6,2
3,2022-07-19 16:46:29.924364,2022-07-19 16:46:55.252301,4,3
-1,2022-07-19 16:46:38.838792,2022-07-19 16:46:38.838941,6,5
2.5,2022-07-19 16:45:45.225575,2022-07-19 16:46:21.225575,1,
2.5,2022-07-19 16:46:21.225575,2022-07-19 16:46:41.225575,2,
-3,2022-07-19 16:46:53.450802,2022-07-19 16:46:54.452061,0,0
3,2022-07-19 16:46:55.252308,2022-07-19 16:47:27.802285,6,3
4,2022-07-19 16:46:57.899282,2022-07-19 16:47:50.345728,6,4
5,2022-07-19 16:47:01.298599,2022-07-19 16:47:38.013851,4,5
-1,2022-07-19 16:47:05.657305,2022-07-19 16:47:05.657460,6,6
-1,2022-07-19 16:47:24.317248,2022-07-19 16:47:24.317361,6,7
3.5,2022-07-19 16:46:29.924364,2022-07-19 16:47:01.924364,1,
3.5,2022-07-19 16:47:01.924364,2022-07-19 16:47:23.924364,2,
5,2022-07-19 16:47:38.013858,2022-07-19 16:48:02.028040,6,5
0,2022-07-19 16:47:40.821281,2022-07-19 16:48:00.564709,4,0
-1,2022-07-19 16:47:45.017326,2022-07-19 16:47:45.017482,6,8
4.5,2022-07-19 16:46:57.899282,2022-07-19 16:47:26.899282,1,
4.5,2022-07-19 16:47:26.899282,2022-07-19 16:47:45.899282,2,
0,2022-07-19 16:48:00.564715,2022-07-19 16:48:35.058889,6,0
5.5,2022-07-19 16:47:01.298599,2022-07-19 16:47:37.298599,1,
5.5,2022-07-19 16:47:37.298599,2022-07-19 16:47:58.298599,2,
6,2022-07-19 16:48:03.299473,2022-07-19 16:48:12.228086,4,6
-1,2022-07-19 16:48:05.929319,2022-07-19 16:48:05.929493,6,9
6,2022-07-19 16:48:12.228092,2022-07-19 16:48:54.400814,6,6
-1,2022-07-19 16:48:12.905379,2022-07-19 16:48:12.905556,6,10
7,2022-07-19 16:48:15.126634,2022-07-19 16:48:45.268329,4,7
0.5,2022-07-19 16:45:11.458859,2022-07-19 16:45:41.458859,1,
0.5,2022-07-19 16:45:41.458859,2022-07-19 16:46:01.458859,2,
-1,2022-07-19 16:48:36.329653,2022-07-19 16:48:36.329781,6,11
7,2022-07-19 16:48:45.268337,2022-07-19 16:49:13.959717,6,7
8,2022-07-19 16:48:48.134936,2022-07-19 16:49:04.612595,4,8
6.5,2022-07-19 16:48:03.299473,2022-07-19 16:48:30.299473,1,
6.5,2022-07-19 16:48:30.299473,2022-07-19 16:48:50.299473,2,
-1,2022-07-19 16:49:01.799898,2022-07-19 16:49:01.800029,6,12
8,2022-07-19 16:49:04.612601,2022-07-19 16:49:40.114598,6,8
9,2022-07-19 16:49:07.490925,2022-07-19 16:49:24.186302,4,9
7.5,2022-07-19 16:48:15.126634,2022-07-19 16:48:50.126634,1,
7.5,2022-07-19 16:48:50.126634,2022-07-19 16:49:09.126634,2,
-1,2022-07-19 16:49:24.041357,2022-07-19 16:49:24.041555,6,13
9,2022-07-19 16:49:24.186307,2022-07-19 16:49:59.887693,6,9
10,2022-07-19 16:49:26.943373,2022-07-19 16:49:50.339567,4,10
