Task,Start,Finish,Cores,RequestId
-1,2022-11-24 01:42:24.706999,2022-11-24 01:42:24.708715,7,0
0,2022-11-24 01:42:27.180519,2022-11-24 01:42:27.359734,16,0
0,2022-11-24 01:42:27.359738,2022-11-24 01:43:27.242415,49,0
-1,2022-11-24 01:43:24.769020,2022-11-24 01:43:24.769154,2,1
-3,2022-11-24 01:43:37.766978,2022-11-24 01:43:38.768261,0,0
1,2022-11-24 01:43:41.481996,2022-11-24 01:43:44.276961,2,1
0,2022-11-24 01:43:43.978096,2022-11-24 01:43:44.169286,9,0
0,2022-11-24 01:43:44.169291,2022-11-24 01:44:44.039996,20,0
1,2022-11-24 01:43:44.276967,2022-11-24 01:45:00.948572,20,1
-1,2022-11-24 01:44:24.828673,2022-11-24 01:44:24.828872,7,2
-3,2022-11-24 01:44:54.593866,2022-11-24 01:44:55.595184,0,0
2,2022-11-24 01:44:58.080036,2022-11-24 01:45:01.027668,5,2
0,2022-11-24 01:45:00.671900,2022-11-24 01:45:00.856317,9,0
0,2022-11-24 01:45:00.856322,2022-11-24 01:45:56.021648,3,0
1,2022-11-24 01:45:00.948581,2022-11-24 01:45:41.606052,3,1
2,2022-11-24 01:45:01.027674,2022-11-24 01:49:04.489070,7,2
-1,2022-11-24 01:45:24.888748,2022-11-24 01:45:24.888986,2,3
-3,2022-11-24 01:45:52.151914,2022-11-24 01:45:53.153283,1,1
3,2022-11-24 01:45:55.832232,2022-11-24 01:49:14.640895,2,3
0,2022-11-24 01:45:56.021654,2022-11-24 01:49:00.954274,4,0
-1,2022-11-24 01:46:24.948769,2022-11-24 01:46:24.948980,6,4
-1,2022-11-24 01:47:25.008556,2022-11-24 01:47:25.008706,7,5
-1,2022-11-24 01:48:25.068963,2022-11-24 01:48:25.069115,4,6
2.5,2022-11-24 01:44:58.080036,2022-11-24 01:46:30.080036,1,
2.5,2022-11-24 01:46:30.080036,2022-11-24 01:47:44.080036,2,
2.5,2022-11-24 01:47:44.080036,2022-11-24 01:49:00.080036,1,
