Containers, Policy, Asignment Policy, Tf Version, TME, TMR, TMER, Recursos, Productividad, TT 
fcfs,8,strict,maleable,165.625 , 2.5 , 168.125 , 18.198529411764707 , 60.25104602510461 , 478.0
fcfs,8,strict,original,149.75 , 2.125 , 151.875 , 21.995192307692307 , 76.59574468085106 , 376.0
fcfs,8,always_attend,maleable,147.625 , 2.375 , 150.0 , 26.420454545454547 , 94.73684210526315 , 304.0
fcfs,8,always_attend,original,144.875 , 2.25 , 147.125 , 21.634615384615383 , 78.47411444141689 , 367.0
fcfs,8,max_prop,maleable,182.0 , 49.75 , 231.75 , 87.85511363636364 , 44.651162790697676 , 645.0
fcfs,8,max_prop,original,89.875 , 56.25 , 146.125 , 81.38020833333333 , 83.23699421965318 , 346.0
fcfs,16,strict,maleable,182.25 , 2.8125 , 185.0625 , 37.3046875 , 117.07317073170732 , 492.0
fcfs,16,strict,original,135.3125 , 2.5625 , 137.875 , 27.5390625 , 125.49019607843137 , 459.0
fcfs,16,always_attend,maleable,192.9375 , 3.3125 , 196.25 , 27.473958333333332 , 84.70588235294117 , 680.0
fcfs,16,always_attend,original,133.375 , 3.125 , 136.5 , 28.125 , 121.51898734177216 , 474.0
fcfs,16,max_prop,maleable,209.5625 , 54.9375 , 264.5 , 85.75721153846153 , 76.08982826948481 , 757.0
fcfs,16,max_prop,original,114.625 , 123.5 , 238.125 , 80.15625 , 103.78378378378378 , 555.0
fcfs,32,strict,maleable,199.46875 , 17.625 , 217.09375 , 57.61088709677419 , 124.54054054054055 , 925.0
fcfs,32,strict,original,112.625 , 4.84375 , 117.46875 , 42.857142857142854 , 198.96373056994818 , 579.0
fcfs,32,always_attend,maleable,214.53125 , 55.6875 , 270.21875 , 60.890151515151516 , 116.59919028340082 , 988.0
fcfs,32,always_attend,original,114.46875 , 4.34375 , 118.8125 , 41.145833333333336 , 191.36212624584718 , 602.0
fcfs,32,max_prop,maleable,197.21875 , 57.59375 , 254.8125 , 83.4375 , 164.57142857142856 , 700.0
fcfs,32,max_prop,original,127.875 , 92.96875 , 220.84375 , 79.6875 , 146.9387755102041 , 784.0
fcfs,64,strict,maleable,231.46875 , 44.1875 , 275.65625 , 73.0625 , 153.90781563126254 , 1497.0
fcfs,64,strict,original,129.171875 , 5.875 , 135.046875 , 43.34935897435897 , 195.91836734693877 , 1176.0
fcfs,64,always_attend,maleable,218.0 , 27.3125 , 245.3125 , 65.56122448979592 , 155.78093306288034 , 1479.0
fcfs,64,always_attend,original,132.125 , 4.515625 , 136.640625 , 45.4358552631579 , 204.98220640569394 , 1124.0
fcfs,64,max_prop,maleable,232.890625 , 81.84375 , 314.734375 , 88.07565789473684 , 133.87565368971528 , 1721.0
fcfs,64,max_prop,original,135.65625 , 126.53125 , 262.1875 , 85.86647727272727 , 177.23076923076923 , 1300.0
