Task,Start,Finish,Cores,RequestId
-1,2022-03-29 19:11:07.214569,2022-03-29 19:11:07.214577,8,0
0,2022-03-29 19:11:09.671135,2022-03-29 19:13:59.638244,8,0
-1,2022-03-29 19:11:46.657844,2022-03-29 19:11:46.657856,8,1
1,2022-03-29 19:11:49.433569,2022-03-29 19:14:38.593953,8,1
-1,2022-03-29 19:12:35.909984,2022-03-29 19:12:35.909999,8,2
-1,2022-03-29 19:13:15.309829,2022-03-29 19:13:15.309844,8,3
-1,2022-03-29 19:13:56.985802,2022-03-29 19:13:56.985818,8,4
0.5,2022-03-29 19:11:09.671135,2022-03-29 19:11:48.671135,1,
0.5,2022-03-29 19:11:48.671135,2022-03-29 19:12:24.671135,2,
0.5,2022-03-29 19:12:24.671135,2022-03-29 19:13:01.671135,1,
0.5,2022-03-29 19:13:01.671135,2022-03-29 19:13:46.671135,2,
0.5,2022-03-29 19:13:46.671135,2022-03-29 19:14:42.671135,1,
0.5,2022-03-29 19:14:42.671135,2022-03-29 19:15:21.671135,2,
0.5,2022-03-29 19:15:21.671135,2022-03-29 19:15:53.671135,1,
0.5,2022-03-29 19:15:53.671135,2022-03-29 19:16:26.671135,2,
0.5,2022-03-29 19:16:26.671135,2022-03-29 19:17:10.671135,1,
0.5,2022-03-29 19:17:10.671135,2022-03-29 19:18:07.671135,2,
0.5,2022-03-29 19:18:07.671135,2022-03-29 19:18:46.671135,1,
0.5,2022-03-29 19:18:46.671135,2022-03-29 19:19:17.671135,2,
0.5,2022-03-29 19:19:17.671135,2022-03-29 19:19:50.671135,1,
0.5,2022-03-29 19:19:50.671135,2022-03-29 19:20:31.671135,2,
0.5,2022-03-29 19:20:31.671135,2022-03-29 19:21:24.671135,1,
0.5,2022-03-29 19:21:24.671135,2022-03-29 19:22:04.671135,2,
0.5,2022-03-29 19:22:04.671135,2022-03-29 19:22:36.671135,1,
0.5,2022-03-29 19:22:36.671135,2022-03-29 19:23:08.671135,2,
0.5,2022-03-29 19:23:08.671135,2022-03-29 19:23:40.671135,1,
0.5,2022-03-29 19:23:40.671135,2022-03-29 19:24:12.671135,2,
2,2022-03-29 19:14:12.394294,2022-03-29 19:17:00.604784,8,2
-1,2022-03-29 19:14:31.569826,2022-03-29 19:14:31.569847,8,5
1.5,2022-03-29 19:11:49.433569,2022-03-29 19:12:32.433569,1,
1.5,2022-03-29 19:12:32.433569,2022-03-29 19:13:10.433569,2,
1.5,2022-03-29 19:13:10.433569,2022-03-29 19:13:57.433569,1,
1.5,2022-03-29 19:13:57.433569,2022-03-29 19:14:54.433569,2,
1.5,2022-03-29 19:14:54.433569,2022-03-29 19:15:57.433569,1,
1.5,2022-03-29 19:15:57.433569,2022-03-29 19:16:36.433569,2,
1.5,2022-03-29 19:16:36.433569,2022-03-29 19:17:15.433569,1,
1.5,2022-03-29 19:17:15.433569,2022-03-29 19:17:58.433569,2,
1.5,2022-03-29 19:17:58.433569,2022-03-29 19:18:51.433569,1,
1.5,2022-03-29 19:18:51.433569,2022-03-29 19:19:57.433569,2,
1.5,2022-03-29 19:19:57.433569,2022-03-29 19:20:36.433569,1,
1.5,2022-03-29 19:20:36.433569,2022-03-29 19:21:13.433569,2,
1.5,2022-03-29 19:21:13.433569,2022-03-29 19:22:00.433569,1,
1.5,2022-03-29 19:22:00.433569,2022-03-29 19:22:56.433569,2,
1.5,2022-03-29 19:22:56.433569,2022-03-29 19:24:03.433569,1,
1.5,2022-03-29 19:24:03.433569,2022-03-29 19:24:42.433569,2,
1.5,2022-03-29 19:24:42.433569,2022-03-29 19:25:14.433569,1,
1.5,2022-03-29 19:25:14.433569,2022-03-29 19:25:46.433569,2,
1.5,2022-03-29 19:25:46.433569,2022-03-29 19:26:18.433569,1,
1.5,2022-03-29 19:26:18.433569,2022-03-29 19:26:49.433569,2,
3,2022-03-29 19:14:51.272537,2022-03-29 19:17:42.846936,8,3
-1,2022-03-29 19:15:08.694504,2022-03-29 19:15:08.694531,8,6
-1,2022-03-29 19:15:42.421787,2022-03-29 19:15:42.421821,8,7
-1,2022-03-29 19:16:18.541857,2022-03-29 19:16:18.541895,8,8
2.5,2022-03-29 19:14:12.394294,2022-03-29 19:16:38.394294,1,
2.5,2022-03-29 19:16:38.394294,2022-03-29 19:18:38.394294,2,
2.5,2022-03-29 19:18:38.394294,2022-03-29 19:20:07.394294,1,
2.5,2022-03-29 19:20:07.394294,2022-03-29 19:21:13.394294,2,
2.5,2022-03-29 19:21:13.394294,2022-03-29 19:21:58.394294,1,
2.5,2022-03-29 19:21:58.394294,2022-03-29 19:22:51.394294,2,
2.5,2022-03-29 19:22:51.394294,2022-03-29 19:23:45.394294,1,
2.5,2022-03-29 19:23:45.394294,2022-03-29 19:24:45.394294,2,
2.5,2022-03-29 19:24:45.394294,2022-03-29 19:25:58.394294,1,
2.5,2022-03-29 19:25:58.394294,2022-03-29 19:27:31.394294,2,
2.5,2022-03-29 19:27:31.394294,2022-03-29 19:28:10.394294,1,
2.5,2022-03-29 19:28:10.394294,2022-03-29 19:28:41.394294,2,
2.5,2022-03-29 19:28:41.394294,2022-03-29 19:29:13.394294,1,
