Task,Start,Finish,Cores,RequestId
-1,2022-03-29 17:53:54.013812,2022-03-29 17:53:54.013819,8,0
0,2022-03-29 17:53:56.520649,2022-03-29 17:57:16.725395,8,0
-1,2022-03-29 17:54:33.457894,2022-03-29 17:54:33.457912,8,1
1,2022-03-29 17:54:36.142736,2022-03-29 17:58:46.291624,8,1
-1,2022-03-29 17:55:22.712672,2022-03-29 17:55:22.712693,8,2
2,2022-03-29 17:55:25.603299,2022-03-29 18:01:02.474399,8,2
-1,2022-03-29 17:56:02.109949,2022-03-29 17:56:02.109979,8,3
3,2022-03-29 17:56:05.208064,2022-03-29 18:02:22.995695,8,3
-1,2022-03-29 17:56:43.785842,2022-03-29 17:56:43.785864,8,4
4,2022-03-29 17:56:46.802297,2022-03-29 18:04:32.994867,8,4
0.5,2022-03-29 17:53:56.520649,2022-03-29 17:54:35.520649,1,
0.5,2022-03-29 17:54:35.520649,2022-03-29 17:55:11.520649,2,
0.5,2022-03-29 17:55:11.520649,2022-03-29 17:55:48.520649,1,
0.5,2022-03-29 17:55:48.520649,2022-03-29 17:56:33.520649,2,
0.5,2022-03-29 17:56:33.520649,2022-03-29 17:57:29.520649,1,
0.5,2022-03-29 17:57:29.520649,2022-03-29 17:58:08.520649,2,
0.5,2022-03-29 17:58:08.520649,2022-03-29 17:58:40.520649,1,
0.5,2022-03-29 17:58:40.520649,2022-03-29 17:59:13.520649,2,
0.5,2022-03-29 17:59:13.520649,2022-03-29 17:59:57.520649,1,
0.5,2022-03-29 17:59:57.520649,2022-03-29 18:00:54.520649,2,
0.5,2022-03-29 18:00:54.520649,2022-03-29 18:01:33.520649,1,
0.5,2022-03-29 18:01:33.520649,2022-03-29 18:02:04.520649,2,
0.5,2022-03-29 18:02:04.520649,2022-03-29 18:02:37.520649,1,
0.5,2022-03-29 18:02:37.520649,2022-03-29 18:03:18.520649,2,
0.5,2022-03-29 18:03:18.520649,2022-03-29 18:04:11.520649,1,
-1,2022-03-29 17:57:18.369980,2022-03-29 17:57:18.370015,8,5
5,2022-03-29 17:57:29.997040,2022-03-29 18:05:40.113660,8,5
-1,2022-03-29 17:57:55.493838,2022-03-29 17:57:55.493867,8,6
6,2022-03-29 17:57:58.556585,2022-03-29 18:06:31.977281,8,6
-1,2022-03-29 17:58:29.221848,2022-03-29 17:58:29.221878,8,7
7,2022-03-29 17:58:32.474186,2022-03-29 18:07:39.114521,8,7
1.5,2022-03-29 17:54:36.142736,2022-03-29 17:55:19.142736,1,
1.5,2022-03-29 17:55:19.142736,2022-03-29 17:55:57.142736,2,
1.5,2022-03-29 17:55:57.142736,2022-03-29 17:56:44.142736,1,
1.5,2022-03-29 17:56:44.142736,2022-03-29 17:57:41.142736,2,
1.5,2022-03-29 17:57:41.142736,2022-03-29 17:58:44.142736,1,
1.5,2022-03-29 17:58:44.142736,2022-03-29 17:59:23.142736,2,
1.5,2022-03-29 17:59:23.142736,2022-03-29 18:00:02.142736,1,
1.5,2022-03-29 18:00:02.142736,2022-03-29 18:00:45.142736,2,
1.5,2022-03-29 18:00:45.142736,2022-03-29 18:01:38.142736,1,
1.5,2022-03-29 18:01:38.142736,2022-03-29 18:02:44.142736,2,
1.5,2022-03-29 18:02:44.142736,2022-03-29 18:03:23.142736,1,
1.5,2022-03-29 18:03:23.142736,2022-03-29 18:04:00.142736,2,
1.5,2022-03-29 18:04:00.142736,2022-03-29 18:04:47.142736,1,
1.5,2022-03-29 18:04:47.142736,2022-03-29 18:05:43.142736,2,
1.5,2022-03-29 18:05:43.142736,2022-03-29 18:06:50.142736,1,
-1,2022-03-29 17:59:05.343404,2022-03-29 17:59:05.343436,8,8
8,2022-03-29 17:59:08.683187,2022-03-29 18:10:09.887709,8,8
-1,2022-03-29 17:59:50.033878,2022-03-29 17:59:50.033923,8,9
9,2022-03-29 17:59:53.480246,2022-03-29 18:09:01.236996,8,9
-1,2022-03-29 18:00:22.545831,2022-03-29 18:00:22.545866,8,10
10,2022-03-29 18:00:25.976601,2022-03-29 18:09:18.589758,8,10
