Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,strict,original,0,1,7,1,7,2022-03-29 17:53:54.013799,2022-03-29 17:53:56.520634,2022-03-29 17:57:16.725318,,,,,,,,,,,,,0,0,0,0,,,
keras_example_resnet,strict,original,1,1,7,1,7,2022-03-29 17:54:33.457867,2022-03-29 17:54:36.142723,2022-03-29 17:58:46.291551,,,,,,,,,,,,,0,0,0,1,,,
keras_example_resnet,strict,original,2,1,7,1,7,2022-03-29 17:55:22.712643,2022-03-29 17:55:25.603281,2022-03-29 18:01:02.474327,,,,,,,,,,,,,0,0,0,2,,,
keras_example_resnet,strict,original,3,1,7,1,7,2022-03-29 17:56:02.109919,2022-03-29 17:56:05.208046,2022-03-29 18:02:22.995602,,,,,,,,,,,,,0,0,0,3,,,
keras_example_resnet,strict,original,4,1,7,1,7,2022-03-29 17:56:43.785812,2022-03-29 17:56:46.802282,2022-03-29 18:04:32.994767,,,,,,,,,,,,,0,0,0,4,,,
keras_example_resnet,strict,original,5,1,7,1,7,2022-03-29 17:57:18.369935,2022-03-29 17:57:29.997024,2022-03-29 18:05:40.113544,,,,,,,,,,,,,0,0,0,5,,,
keras_example_resnet,strict,original,6,1,7,1,7,2022-03-29 17:57:55.493807,2022-03-29 17:57:58.556567,2022-03-29 18:06:31.977169,,,,,,,,,,,,,0,0,0,6,,,
keras_example_resnet,strict,original,7,1,7,1,7,2022-03-29 17:58:29.221819,2022-03-29 17:58:32.474169,2022-03-29 18:07:39.114414,,,,,,,,,,,,,0,0,0,7,,,
keras_example_resnet,strict,original,9,1,7,1,7,2022-03-29 17:59:50.033841,2022-03-29 17:59:53.480226,2022-03-29 18:09:01.236885,,,,,,,,,,,,,0,0,0,9,,,
keras_example_resnet,strict,original,10,1,7,1,7,2022-03-29 18:00:22.545801,2022-03-29 18:00:25.976581,2022-03-29 18:09:18.589600,,,,,,,,,,,,,0,0,0,10,,,
keras_example_resnet,strict,original,11,1,7,1,7,2022-03-29 18:01:02.361814,2022-03-29 18:01:06.304439,2022-03-29 18:09:44.163734,,,,,,,,,,,,,0,0,0,11,,,
keras_example_resnet,strict,original,12,1,7,1,7,2022-03-29 18:01:39.517821,2022-03-29 18:01:42.949730,2022-03-29 18:10:08.918508,,,,,,,,,,,,,0,0,0,12,,,
keras_example_resnet,strict,original,13,1,7,1,7,2022-03-29 18:02:14.957819,2022-03-29 18:02:18.402509,2022-03-29 18:10:13.073143,,,,,,,,,,,,,0,0,0,13,,,
keras_example_resnet,strict,original,14,1,7,1,7,2022-03-29 18:03:00.693987,2022-03-29 18:03:04.295089,2022-03-29 18:10:32.555413,,,,,,,,,,,,,0,0,0,14,,,
keras_example_resnet,strict,original,15,1,7,1,7,2022-03-29 18:03:40.245811,2022-03-29 18:03:43.981957,2022-03-29 18:10:43.653814,,,,,,,,,,,,,0,0,0,15,,,
keras_example_resnet,strict,original,8,1,7,1,7,2022-03-29 17:59:05.343345,2022-03-29 18:10:56.315319,2022-03-29 18:13:46.626955,,,,,,,,,,,,,0,0,0,8,,,
