Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,maleable,0,1,7,1,15,2022-03-29 20:47:34.858628,2022-03-29 20:47:37.342875,2022-03-29 20:49:18.536249,,,,,,,,,,,,,0,0,0,0,,,
keras_example_resnet,max_prop,maleable,2,1,7,1,7,2022-03-29 20:49:03.559084,2022-03-29 20:49:34.048868,2022-03-29 20:52:13.112305,,,,,,,,,,,,,0,0,0,2,,,
keras_example_resnet,max_prop,maleable,7,1,7,1,7,2022-03-29 20:52:10.069754,2022-03-29 20:53:16.761749,2022-03-29 20:56:04.085210,,,,,,,,,,,,,0,0,0,7,,,
keras_example_resnet,max_prop,maleable,4,1,7,1,1,2022-03-29 20:50:24.633749,2022-03-29 20:52:28.562244,2022-03-29 21:01:39.072312,2022-03-29 20:56:14.099877,1,3,,,,,,,,,,1,0,0,4,,,
keras_example_resnet,max_prop,maleable,3,1,7,1,1,2022-03-29 20:49:42.957842,2022-03-29 20:52:25.667688,2022-03-29 21:01:58.220416,2022-03-29 20:56:14.099759,1,7,,,,,,,,,,1,0,0,3,,,
keras_example_resnet,max_prop,maleable,5,1,7,1,1,2022-03-29 20:50:59.217753,2022-03-29 20:52:31.581599,2022-03-29 21:04:10.090943,2022-03-29 21:01:49.086808,1,5,,,,,,,,,,1,0,0,5,,,
keras_example_resnet,max_prop,maleable,6,1,7,1,1,2022-03-29 20:51:36.342283,2022-03-29 20:52:34.570300,2022-03-29 21:04:17.640227,2022-03-29 21:02:08.235056,1,7,,,,,,,,,,1,0,0,6,,,
keras_example_resnet,max_prop,maleable,8,1,7,1,1,2022-03-29 20:52:46.189790,2022-03-29 21:02:11.034193,2022-03-29 21:11:05.557190,2022-03-29 21:04:27.655536,1,7,,,,,,,,,,1,0,0,8,,,
keras_example_resnet,max_prop,maleable,9,1,7,1,1,2022-03-29 20:53:30.877812,2022-03-29 21:04:33.430083,2022-03-29 21:14:52.573884,2022-03-29 21:11:15.572850,1,3,,,,,,,,,,1,0,0,9,,,
keras_example_resnet,max_prop,maleable,1,1,7,1,1,2022-03-29 20:48:14.304302,2022-03-29 21:04:30.431455,2022-03-29 21:15:09.260452,2022-03-29 21:11:15.572698,1,7,,,,,,,,,,1,0,0,1,,,
keras_example_resnet,max_prop,maleable,10,1,7,1,1,2022-03-29 20:54:03.389755,2022-03-29 21:04:36.630831,2022-03-29 21:16:35.954883,2022-03-29 21:15:02.586670,1,5,,,,,,,,,,1,0,0,10,,,
keras_example_resnet,max_prop,maleable,14,1,7,1,3,2022-03-29 20:56:41.538326,2022-03-29 21:18:29.319594,2022-03-29 21:23:30.941760,,,,,,,,,,,,,0,0,0,14,,,
keras_example_resnet,max_prop,maleable,12,1,7,1,1,2022-03-29 20:55:20.361766,2022-03-29 21:15:22.130709,2022-03-29 21:23:55.357994,2022-03-29 21:16:45.970321,1,7,,,,,,,,,,1,0,0,12,,,
keras_example_resnet,max_prop,maleable,15,1,7,1,1,2022-03-29 20:57:21.091166,2022-03-29 21:22:12.050391,2022-03-29 21:30:59.947943,2022-03-29 21:24:05.373709,1,7,,,,,,,,,,1,0,0,15,,,
keras_example_resnet,max_prop,maleable,13,1,7,1,1,2022-03-29 20:55:55.801749,2022-03-29 21:24:08.182760,2022-03-29 21:34:54.325917,2022-03-29 21:31:09.962252,1,7,,,,,,,,,,1,0,0,13,,,
