Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,original,0,1,7,1,15,2022-03-31 15:42:00.029492,2022-03-31 15:42:02.433732,2022-03-31 15:43:43.370739,,,,,,,,,,,,,0,0,0,0,,,
keras_example_resnet,max_prop,original,1,1,7,1,7,2022-03-31 15:42:39.473814,2022-03-31 15:43:55.912878,2022-03-31 15:46:57.352557,,,,,,,,,,,,,0,0,0,1,,,
keras_example_resnet,max_prop,original,2,1,7,1,7,2022-03-31 15:43:28.728546,2022-03-31 15:43:58.847106,2022-03-31 15:47:01.672645,,,,,,,,,,,,,0,0,0,2,,,
keras_example_resnet,max_prop,original,3,1,7,1,2,2022-03-31 15:44:08.125825,2022-03-31 15:47:14.254876,2022-03-31 15:54:38.720884,,,,,,,,,,,,,0,0,0,3,,,
keras_example_resnet,max_prop,original,7,1,7,1,2,2022-03-31 15:46:35.237750,2022-03-31 15:47:26.147589,2022-03-31 15:54:49.647326,,,,,,,,,,,,,0,0,0,7,,,
keras_example_resnet,max_prop,original,4,1,7,1,2,2022-03-31 15:44:49.801769,2022-03-31 15:47:17.260971,2022-03-31 15:55:01.069378,2022-03-31 15:54:48.736311,1,6,,,,,,,,,,1,0,0,4,,,
keras_example_resnet,max_prop,original,6,1,7,1,2,2022-03-31 15:46:01.509783,2022-03-31 15:47:23.135253,2022-03-31 15:55:06.451982,,,,,,,,,,,,,0,0,0,6,,,
keras_example_resnet,max_prop,original,5,1,7,1,2,2022-03-31 15:45:24.385779,2022-03-31 15:47:20.147269,2022-03-31 15:55:09.817658,2022-03-31 15:54:59.662627,1,5,,,,,,,,,,1,0,0,5,,,
keras_example_resnet,max_prop,original,8,1,7,1,1,2022-03-31 15:47:11.341931,2022-03-31 15:55:22.477266,2022-03-31 16:08:18.027474,,,,,,,,,,,,,0,0,0,8,,,
keras_example_resnet,max_prop,original,9,1,7,1,1,2022-03-31 15:47:56.029797,2022-03-31 15:55:25.578017,2022-03-31 16:08:19.124603,,,,,,,,,,,,,0,0,0,9,,,
keras_example_resnet,max_prop,original,11,1,7,1,1,2022-03-31 15:49:08.357867,2022-03-31 15:55:31.778783,2022-03-31 16:08:24.329325,,,,,,,,,,,,,0,0,0,11,,,
keras_example_resnet,max_prop,original,10,1,7,1,1,2022-03-31 15:48:28.541742,2022-03-31 15:55:28.670617,2022-03-31 16:08:26.858144,,,,,,,,,,,,,0,0,0,10,,,
keras_example_resnet,max_prop,original,13,1,7,1,1,2022-03-31 15:50:20.958851,2022-03-31 15:55:37.919940,2022-03-31 16:08:32.445761,,,,,,,,,,,,,0,0,0,13,,,
keras_example_resnet,max_prop,original,12,1,7,1,1,2022-03-31 15:49:45.517236,2022-03-31 15:55:34.867647,2022-03-31 16:08:33.608125,,,,,,,,,,,,,0,0,0,12,,,
keras_example_resnet,max_prop,original,15,1,7,1,1,2022-03-31 15:51:46.245788,2022-03-31 15:55:44.333849,2022-03-31 16:08:37.953587,,,,,,,,,,,,,0,0,0,15,,,
keras_example_resnet,max_prop,original,14,1,7,1,1,2022-03-31 15:51:06.693760,2022-03-31 15:55:41.105575,2022-03-31 16:08:43.399518,,,,,,,,,,,,,0,0,0,14,,,
