Task,Start,Finish,Cores,RequestId
-1,2022-04-06 19:28:18.128007,2022-04-06 19:28:18.128013,8,0
0,2022-04-06 19:28:20.566405,2022-04-06 19:30:01.807841,16,0
-1,2022-04-06 19:28:38.145840,2022-04-06 19:28:38.145853,8,1
-1,2022-04-06 19:28:58.165786,2022-04-06 19:28:58.165799,8,2
-1,2022-04-06 19:29:18.186010,2022-04-06 19:29:18.186024,8,3
-1,2022-04-06 19:29:38.205781,2022-04-06 19:29:38.205795,8,4
-1,2022-04-06 19:29:58.225810,2022-04-06 19:29:58.225826,8,5
0.5,2022-04-06 19:28:20.566405,2022-04-06 19:28:45.566405,1,
0.5,2022-04-06 19:28:45.566405,2022-04-06 19:29:03.566405,2,
0.5,2022-04-06 19:29:03.566405,2022-04-06 19:29:21.566405,1,
0.5,2022-04-06 19:29:21.566405,2022-04-06 19:29:39.566405,2,
0.5,2022-04-06 19:29:39.566405,2022-04-06 19:29:57.566405,1,
1,2022-04-06 19:30:14.270497,2022-04-06 19:30:56.644895,3,1
2,2022-04-06 19:30:17.266850,2022-04-06 19:38:00.778662,3,2
3,2022-04-06 19:30:20.353020,2022-04-06 19:38:00.778768,3,3
4,2022-04-06 19:30:23.383447,2022-04-06 19:37:47.818115,3,4
5,2022-04-06 19:30:26.561282,2022-04-06 19:37:50.763418,3,5
1,2022-04-06 19:30:56.644900,2022-04-06 19:38:01.746221,4,1
-1,2022-04-06 19:30:56.645070,2022-04-06 19:30:56.645080,8,6
-1,2022-04-06 19:31:16.661807,2022-04-06 19:31:16.661827,8,7
-1,2022-04-06 19:31:36.681804,2022-04-06 19:31:36.681825,8,8
-1,2022-04-06 19:31:56.702038,2022-04-06 19:31:56.702059,8,9
-1,2022-04-06 19:32:16.721817,2022-04-06 19:32:16.721839,8,10
-1,2022-04-06 19:32:36.741910,2022-04-06 19:32:36.741933,8,11
-1,2022-04-06 19:32:56.762118,2022-04-06 19:32:56.762142,8,12
-1,2022-04-06 19:33:16.781835,2022-04-06 19:33:16.781865,8,13
-1,2022-04-06 19:33:36.801808,2022-04-06 19:33:36.801831,8,14
-1,2022-04-06 19:33:56.813799,2022-04-06 19:33:56.813822,8,15
-1,2022-04-06 19:34:16.833839,2022-04-06 19:34:16.833866,8,16
-1,2022-04-06 19:34:36.837799,2022-04-06 19:34:36.837825,8,17
-1,2022-04-06 19:34:56.858026,2022-04-06 19:34:56.858053,8,18
-1,2022-04-06 19:35:16.877793,2022-04-06 19:35:16.877819,8,19
-1,2022-04-06 19:35:36.897833,2022-04-06 19:35:36.897858,8,20
-1,2022-04-06 19:35:56.918046,2022-04-06 19:35:56.918072,8,21
-1,2022-04-06 19:36:16.937795,2022-04-06 19:36:16.937823,8,22
-1,2022-04-06 19:36:36.958015,2022-04-06 19:36:36.958056,8,23
-1,2022-04-06 19:36:56.977798,2022-04-06 19:36:56.977825,8,24
-1,2022-04-06 19:37:16.993824,2022-04-06 19:37:16.993852,8,25
-1,2022-04-06 19:37:37.013790,2022-04-06 19:37:37.013821,8,26
4.5,2022-04-06 19:30:23.383447,2022-04-06 19:31:58.383447,1,
4.5,2022-04-06 19:31:58.383447,2022-04-06 19:33:24.383447,2,
4.5,2022-04-06 19:33:24.383447,2022-04-06 19:34:50.383447,1,
4.5,2022-04-06 19:34:50.383447,2022-04-06 19:36:16.383447,2,
4.5,2022-04-06 19:36:16.383447,2022-04-06 19:37:42.383447,1,
5.5,2022-04-06 19:30:26.561282,2022-04-06 19:32:01.561282,1,
5.5,2022-04-06 19:32:01.561282,2022-04-06 19:33:28.561282,2,
5.5,2022-04-06 19:33:28.561282,2022-04-06 19:34:55.561282,1,
5.5,2022-04-06 19:34:55.561282,2022-04-06 19:36:21.561282,2,
5.5,2022-04-06 19:36:21.561282,2022-04-06 19:37:47.561282,1,
-1,2022-04-06 19:37:57.025817,2022-04-06 19:37:57.025849,8,27
2,2022-04-06 19:38:00.778679,2022-04-06 19:38:04.632018,8,2
3,2022-04-06 19:38:00.778776,2022-04-06 19:38:08.261838,4,3
1.5,2022-04-06 19:30:56.644900,2022-04-06 19:32:36.644900,1,
1.5,2022-04-06 19:32:36.644900,2022-04-06 19:34:08.644900,2,
1.5,2022-04-06 19:34:08.644900,2022-04-06 19:35:40.644900,1,
1.5,2022-04-06 19:35:40.644900,2022-04-06 19:37:10.644900,2,
