Task,Start,Finish,Cores,RequestId
-1,2022-03-31 20:09:01.587294,2022-03-31 20:09:02.588392,8,0
0,2022-03-31 20:09:05.209233,2022-03-31 20:10:47.651618,16,0
-1,2022-03-31 20:09:49.636024,2022-03-31 20:09:50.637109,8,1
-1,2022-03-31 20:10:34.681824,2022-03-31 20:10:35.682947,8,2
0.5,2022-03-31 20:09:05.209233,2022-03-31 20:09:32.209233,1,
0.5,2022-03-31 20:09:32.209233,2022-03-31 20:09:52.209233,2,
0.5,2022-03-31 20:09:52.209233,2022-03-31 20:10:10.209233,1,
0.5,2022-03-31 20:10:10.209233,2022-03-31 20:10:28.209233,2,
0.5,2022-03-31 20:10:28.209233,2022-03-31 20:10:46.209233,1,
0.5,2022-03-31 20:10:46.209233,2022-03-31 20:11:11.209233,2,
0.5,2022-03-31 20:11:11.209233,2022-03-31 20:11:29.209233,1,
0.5,2022-03-31 20:11:29.209233,2022-03-31 20:11:47.209233,2,
0.5,2022-03-31 20:11:47.209233,2022-03-31 20:12:05.209233,1,
0.5,2022-03-31 20:12:05.209233,2022-03-31 20:12:23.209233,2,
0.5,2022-03-31 20:12:23.209233,2022-03-31 20:12:48.209233,1,
0.5,2022-03-31 20:12:48.209233,2022-03-31 20:13:08.209233,2,
0.5,2022-03-31 20:13:08.209233,2022-03-31 20:13:26.209233,1,
0.5,2022-03-31 20:13:26.209233,2022-03-31 20:13:44.209233,2,
0.5,2022-03-31 20:13:44.209233,2022-03-31 20:14:02.209233,1,
1,2022-03-31 20:11:00.215806,2022-03-31 20:13:40.708552,8,1
2,2022-03-31 20:11:03.142666,2022-03-31 20:13:49.084957,8,2
-1,2022-03-31 20:11:15.721829,2022-03-31 20:11:16.722940,8,3
-1,2022-03-31 20:11:53.757808,2022-03-31 20:11:54.758895,8,4
-1,2022-03-31 20:12:32.793793,2022-03-31 20:12:33.794881,8,5
-1,2022-03-31 20:13:16.837785,2022-03-31 20:13:17.838892,8,6
1.5,2022-03-31 20:11:00.215806,2022-03-31 20:13:35.215806,1,
1.5,2022-03-31 20:13:35.215806,2022-03-31 20:16:09.215806,2,
1.5,2022-03-31 20:16:09.215806,2022-03-31 20:18:21.215806,1,
1.5,2022-03-31 20:18:21.215806,2022-03-31 20:19:58.215806,2,
1.5,2022-03-31 20:19:58.215806,2022-03-31 20:21:35.215806,1,
1.5,2022-03-31 20:21:35.215806,2022-03-31 20:22:14.215806,2,
1.5,2022-03-31 20:22:14.215806,2022-03-31 20:22:44.215806,1,
1.5,2022-03-31 20:22:44.215806,2022-03-31 20:23:14.215806,2,
1.5,2022-03-31 20:23:14.215806,2022-03-31 20:23:43.215806,1,
1.5,2022-03-31 20:23:43.215806,2022-03-31 20:24:12.215806,2,
2.5,2022-03-31 20:11:03.142666,2022-03-31 20:11:40.142666,1,
2.5,2022-03-31 20:11:40.142666,2022-03-31 20:12:09.142666,2,
2.5,2022-03-31 20:12:09.142666,2022-03-31 20:12:39.142666,1,
2.5,2022-03-31 20:12:39.142666,2022-03-31 20:13:09.142666,2,
2.5,2022-03-31 20:13:09.142666,2022-03-31 20:13:39.142666,1,
2.5,2022-03-31 20:13:39.142666,2022-03-31 20:14:18.142666,2,
2.5,2022-03-31 20:14:18.142666,2022-03-31 20:14:47.142666,1,
2.5,2022-03-31 20:14:47.142666,2022-03-31 20:15:16.142666,2,
2.5,2022-03-31 20:15:16.142666,2022-03-31 20:15:45.142666,1,
2.5,2022-03-31 20:15:45.142666,2022-03-31 20:16:14.142666,2,
2.5,2022-03-31 20:16:14.142666,2022-03-31 20:16:54.142666,1,
2.5,2022-03-31 20:16:54.142666,2022-03-31 20:17:27.142666,2,
2.5,2022-03-31 20:17:27.142666,2022-03-31 20:17:56.142666,1,
2.5,2022-03-31 20:17:56.142666,2022-03-31 20:18:27.142666,2,
2.5,2022-03-31 20:18:27.142666,2022-03-31 20:18:56.142666,1,
-1,2022-03-31 20:13:57.879614,2022-03-31 20:13:58.880728,8,7
3,2022-03-31 20:14:01.687368,2022-03-31 20:14:44.042100,3,3
4,2022-03-31 20:14:04.653362,2022-03-31 20:19:54.441702,3,4
5,2022-03-31 20:14:07.596546,2022-03-31 20:21:09.409861,3,5
6,2022-03-31 20:14:10.583023,2022-03-31 20:21:09.409971,3,6
7,2022-03-31 20:14:13.952664,2022-03-31 20:21:31.649513,3,7
3,2022-03-31 20:14:44.042106,2022-03-31 20:19:44.428087,4,3
-1,2022-03-31 20:14:44.042241,2022-03-31 20:14:45.043350,8,8
-1,2022-03-31 20:15:27.085788,2022-03-31 20:15:28.086910,8,9
-1,2022-03-31 20:16:10.125797,2022-03-31 20:16:11.126895,8,10
-1,2022-03-31 20:16:48.161784,2022-03-31 20:16:49.162889,8,11
-1,2022-03-31 20:17:20.193771,2022-03-31 20:17:21.194877,8,12
-1,2022-03-31 20:18:02.236517,2022-03-31 20:18:03.237619,8,13
-1,2022-03-31 20:18:40.275333,2022-03-31 20:18:41.276455,8,14
-1,2022-03-31 20:19:23.317787,2022-03-31 20:19:24.318891,8,15
3.5,2022-03-31 20:14:44.042106,2022-03-31 20:17:05.042106,1,
3.5,2022-03-31 20:17:05.042106,2022-03-31 20:18:35.042106,2,
3.5,2022-03-31 20:18:35.042106,2022-03-31 20:20:04.042106,1,
3.5,2022-03-31 20:20:04.042106,2022-03-31 20:21:34.042106,2,
3.5,2022-03-31 20:21:34.042106,2022-03-31 20:23:01.042106,1,
3.5,2022-03-31 20:23:01.042106,2022-03-31 20:25:38.042106,2,
3.5,2022-03-31 20:25:38.042106,2022-03-31 20:27:41.042106,1,
3.5,2022-03-31 20:27:41.042106,2022-03-31 20:29:17.042106,2,
3.5,2022-03-31 20:29:17.042106,2022-03-31 20:30:53.042106,1,
3.5,2022-03-31 20:30:53.042106,2022-03-31 20:32:29.042106,2,
3.5,2022-03-31 20:32:29.042106,2022-03-31 20:33:45.042106,1,
3.5,2022-03-31 20:33:45.042106,2022-03-31 20:34:50.042106,2,
3.5,2022-03-31 20:34:50.042106,2022-03-31 20:35:59.042106,1,
3.5,2022-03-31 20:35:59.042106,2022-03-31 20:37:01.042106,2,
3.5,2022-03-31 20:37:01.042106,2022-03-31 20:38:08.042106,1,
4,2022-03-31 20:19:54.441714,2022-03-31 20:20:59.396577,7,4
-1,2022-03-31 20:20:07.361817,2022-03-31 20:20:08.362924,8,16
-1,2022-03-31 20:20:43.397787,2022-03-31 20:20:44.398906,8,17
4.5,2022-03-31 20:19:54.441714,2022-03-31 20:21:21.441714,1,
4.5,2022-03-31 20:21:21.441714,2022-03-31 20:22:43.441714,2,
4.5,2022-03-31 20:22:43.441714,2022-03-31 20:24:05.441714,1,
4.5,2022-03-31 20:24:05.441714,2022-03-31 20:25:26.441714,2,
4.5,2022-03-31 20:25:26.441714,2022-03-31 20:26:47.441714,1,
4.5,2022-03-31 20:26:47.441714,2022-03-31 20:29:23.441714,2,
4.5,2022-03-31 20:29:23.441714,2022-03-31 20:31:21.441714,1,
4.5,2022-03-31 20:31:21.441714,2022-03-31 20:32:53.441714,2,
4.5,2022-03-31 20:32:53.441714,2022-03-31 20:34:23.441714,1,
4.5,2022-03-31 20:34:23.441714,2022-03-31 20:35:54.441714,2,
4.5,2022-03-31 20:35:54.441714,2022-03-31 20:37:24.441714,1,
4.5,2022-03-31 20:37:24.441714,2022-03-31 20:38:49.441714,2,
4.5,2022-03-31 20:38:49.441714,2022-03-31 20:40:14.441714,1,
4.5,2022-03-31 20:40:14.441714,2022-03-31 20:41:40.441714,2,
4.5,2022-03-31 20:41:40.441714,2022-03-31 20:42:45.441714,1,
5,2022-03-31 20:21:09.409876,2022-03-31 20:21:13.361318,8,5
6,2022-03-31 20:21:09.409980,2022-03-31 20:21:21.634620,5,6
5.5,2022-03-31 20:21:09.409876,2022-03-31 20:22:37.409876,1,
5.5,2022-03-31 20:22:37.409876,2022-03-31 20:24:02.409876,2,
5.5,2022-03-31 20:24:02.409876,2022-03-31 20:25:24.409876,1,
5.5,2022-03-31 20:25:24.409876,2022-03-31 20:26:46.409876,2,
5.5,2022-03-31 20:26:46.409876,2022-03-31 20:28:07.409876,1,
5.5,2022-03-31 20:28:07.409876,2022-03-31 20:30:46.409876,2,
5.5,2022-03-31 20:30:46.409876,2022-03-31 20:33:30.409876,1,
5.5,2022-03-31 20:33:30.409876,2022-03-31 20:36:04.409876,2,
5.5,2022-03-31 20:36:04.409876,2022-03-31 20:38:08.409876,1,
5.5,2022-03-31 20:38:08.409876,2022-03-31 20:39:42.409876,2,
5.5,2022-03-31 20:39:42.409876,2022-03-31 20:41:11.409876,1,
5.5,2022-03-31 20:41:11.409876,2022-03-31 20:42:34.409876,2,
5.5,2022-03-31 20:42:34.409876,2022-03-31 20:44:00.409876,1,
5.5,2022-03-31 20:44:00.409876,2022-03-31 20:45:23.409876,2,
5.5,2022-03-31 20:45:23.409876,2022-03-31 20:46:44.409876,1,
6.5,2022-03-31 20:21:09.409980,2022-03-31 20:22:41.409980,1,
6.5,2022-03-31 20:22:41.409980,2022-03-31 20:24:08.409980,2,
6.5,2022-03-31 20:24:08.409980,2022-03-31 20:25:35.409980,1,
6.5,2022-03-31 20:25:35.409980,2022-03-31 20:26:57.409980,2,
6.5,2022-03-31 20:26:57.409980,2022-03-31 20:28:17.409980,1,
6.5,2022-03-31 20:28:17.409980,2022-03-31 20:31:01.409980,2,
6.5,2022-03-31 20:31:01.409980,2022-03-31 20:33:39.409980,1,
6.5,2022-03-31 20:33:39.409980,2022-03-31 20:36:11.409980,2,
6.5,2022-03-31 20:36:11.409980,2022-03-31 20:38:22.409980,1,
6.5,2022-03-31 20:38:22.409980,2022-03-31 20:39:56.409980,2,
6.5,2022-03-31 20:39:56.409980,2022-03-31 20:41:28.409980,1,
6.5,2022-03-31 20:41:28.409980,2022-03-31 20:42:54.409980,2,
6.5,2022-03-31 20:42:54.409980,2022-03-31 20:44:19.409980,1,
6.5,2022-03-31 20:44:19.409980,2022-03-31 20:45:44.409980,2,
6.5,2022-03-31 20:45:44.409980,2022-03-31 20:47:03.409980,1,
-1,2022-03-31 20:21:27.415267,2022-03-31 20:21:28.416400,8,18
7,2022-03-31 20:21:31.649538,2022-03-31 20:21:33.890511,8,7
7.5,2022-03-31 20:21:31.649538,2022-03-31 20:23:05.649538,1,
7.5,2022-03-31 20:23:05.649538,2022-03-31 20:24:32.649538,2,
7.5,2022-03-31 20:24:32.649538,2022-03-31 20:25:59.649538,1,
7.5,2022-03-31 20:25:59.649538,2022-03-31 20:27:21.649538,2,
7.5,2022-03-31 20:27:21.649538,2022-03-31 20:28:40.649538,1,
7.5,2022-03-31 20:28:40.649538,2022-03-31 20:29:19.649538,2,
7.5,2022-03-31 20:29:19.649538,2022-03-31 20:29:51.649538,1,
7.5,2022-03-31 20:29:51.649538,2022-03-31 20:30:22.649538,2,
7.5,2022-03-31 20:30:22.649538,2022-03-31 20:30:52.649538,1,
7.5,2022-03-31 20:30:52.649538,2022-03-31 20:31:23.649538,2,
7.5,2022-03-31 20:31:23.649538,2022-03-31 20:32:55.649538,1,
7.5,2022-03-31 20:32:55.649538,2022-03-31 20:34:24.649538,2,
7.5,2022-03-31 20:34:24.649538,2022-03-31 20:35:50.649538,1,
7.5,2022-03-31 20:35:50.649538,2022-03-31 20:37:17.649538,2,
7.5,2022-03-31 20:37:17.649538,2022-03-31 20:38:40.649538,1,
8,2022-03-31 20:21:34.413430,2022-03-31 20:22:05.455384,2,8
9,2022-03-31 20:21:37.480665,2022-03-31 20:22:05.455490,2,9
