Task,Start,Finish,Cores,RequestId
-1,2022-06-28 18:57:46.774049,2022-06-28 18:57:46.774057,2,0
-1,2022-06-28 18:57:46.774120,2022-06-28 18:57:46.774125,2,1
-1,2022-06-28 18:57:46.774248,2022-06-28 18:57:46.774255,2,2
0,2022-06-28 18:57:49.587610,2022-06-28 19:02:58.745208,4,0
1,2022-06-28 18:57:52.674108,2022-06-28 19:02:57.359004,4,1
2,2022-06-28 18:57:55.793258,2022-06-28 19:03:01.609297,4,2
-1,2022-06-28 18:59:46.874210,2022-06-28 18:59:46.874223,2,3
-2,2022-06-28 18:59:46.874361,2022-06-28 18:59:47.875246,6,0
3,2022-06-28 18:59:49.685103,2022-06-28 19:03:52.876296,4,3
-2,2022-06-28 18:59:49.772425,2022-06-28 18:59:50.773533,6,1
-2,2022-06-28 18:59:50.773753,2022-06-28 18:59:51.774079,6,2
1.5,2022-06-28 18:57:52.674108,2022-06-28 18:58:56.674108,1,
1.5,2022-06-28 18:58:56.674108,2022-06-28 18:59:54.674108,2,
1.5,2022-06-28 18:59:54.674108,2022-06-28 19:00:55.674108,1,
1.5,2022-06-28 19:00:55.674108,2022-06-28 19:01:55.674108,2,
1.5,2022-06-28 19:01:55.674108,2022-06-28 19:02:54.674108,1,
0.5,2022-06-28 18:57:49.587610,2022-06-28 18:58:53.587610,1,
0.5,2022-06-28 18:58:53.587610,2022-06-28 18:59:55.587610,2,
0.5,2022-06-28 18:59:55.587610,2022-06-28 19:00:55.587610,1,
0.5,2022-06-28 19:00:55.587610,2022-06-28 19:01:55.587610,2,
0.5,2022-06-28 19:01:55.587610,2022-06-28 19:02:54.587610,1,
2.5,2022-06-28 18:57:55.793258,2022-06-28 18:58:58.793258,1,
2.5,2022-06-28 18:58:58.793258,2022-06-28 18:59:56.793258,2,
2.5,2022-06-28 18:59:56.793258,2022-06-28 19:00:58.793258,1,
2.5,2022-06-28 19:00:58.793258,2022-06-28 19:01:58.793258,2,
2.5,2022-06-28 19:01:58.793258,2022-06-28 19:02:57.793258,1,
-2,2022-06-28 19:03:51.874374,2022-06-28 19:03:52.875463,6,3
-1,2022-06-28 19:03:52.875594,2022-06-28 19:03:52.875603,2,4
-1,2022-06-28 19:03:52.875651,2022-06-28 19:03:52.875659,2,5
3,2022-06-28 19:03:52.876301,2022-06-28 19:06:50.367202,11,4
4,2022-06-28 19:03:55.673090,2022-06-28 19:07:42.690413,5,4
-1,2022-06-28 19:03:55.742976,2022-06-28 19:03:55.743000,2,6
-1,2022-06-28 19:05:55.842155,2022-06-28 19:05:55.842178,2,7
-2,2022-06-28 19:05:55.842294,2022-06-28 19:05:56.843389,6,4
-2,2022-06-28 19:05:56.843551,2022-06-28 19:05:57.844631,6,5
-2,2022-06-28 19:05:57.844823,2022-06-28 19:05:58.845916,6,6
-3,2022-06-28 19:07:32.066281,2022-06-28 19:07:33.067386,3,3
5,2022-06-28 19:07:36.003559,2022-06-28 19:07:42.690654,2,5
6,2022-06-28 19:07:39.243467,2022-06-28 19:08:00.051073,2,6
7,2022-06-28 19:07:42.621156,2022-06-28 19:13:11.201903,2,7
4,2022-06-28 19:07:42.690419,2022-06-28 19:07:50.037036,7,8
5,2022-06-28 19:07:42.690657,2022-06-28 19:15:19.451394,5,8
4.5,2022-06-28 19:07:42.690419,2022-06-28 19:08:34.690419,1,
4.5,2022-06-28 19:08:34.690419,2022-06-28 19:09:20.690419,2,
4.5,2022-06-28 19:09:20.690419,2022-06-28 19:10:05.690419,1,
4.5,2022-06-28 19:10:05.690419,2022-06-28 19:10:50.690419,2,
4.5,2022-06-28 19:10:50.690419,2022-06-28 19:11:33.690419,1,
6,2022-06-28 19:08:00.051081,2022-06-28 19:15:25.192329,5,8
3,2022-06-28 19:08:02.925085,2022-06-28 19:13:01.187755,4,3
-2,2022-06-28 19:09:58.946200,2022-06-28 19:09:59.947296,6,7
-1,2022-06-28 19:09:59.947482,2022-06-28 19:09:59.947497,2,8
-1,2022-06-28 19:09:59.947536,2022-06-28 19:09:59.947548,2,9
-1,2022-06-28 19:09:59.947589,2022-06-28 19:09:59.947601,2,10
-1,2022-06-28 19:12:00.046153,2022-06-28 19:12:00.046184,2,11
-2,2022-06-28 19:12:00.046292,2022-06-28 19:12:01.047383,6,8
-2,2022-06-28 19:12:01.047545,2022-06-28 19:12:02.048652,6,9
-2,2022-06-28 19:12:02.048820,2022-06-28 19:12:03.049936,6,10
3.5,2022-06-28 19:08:02.925085,2022-06-28 19:09:06.925085,1,
3.5,2022-06-28 19:09:06.925085,2022-06-28 19:10:06.925085,2,
3.5,2022-06-28 19:10:06.925085,2022-06-28 19:11:03.925085,1,
3.5,2022-06-28 19:11:03.925085,2022-06-28 19:12:00.925085,2,
3.5,2022-06-28 19:12:00.925085,2022-06-28 19:12:57.925085,1,
7,2022-06-28 19:13:11.201915,2022-06-28 19:17:38.992210,5,8
5.5,2022-06-28 19:07:42.690657,2022-06-28 19:09:22.690657,1,
5.5,2022-06-28 19:09:22.690657,2022-06-28 19:10:50.690657,2,
5.5,2022-06-28 19:10:50.690657,2022-06-28 19:12:19.690657,1,
5.5,2022-06-28 19:12:19.690657,2022-06-28 19:13:49.690657,2,
5.5,2022-06-28 19:13:49.690657,2022-06-28 19:15:21.690657,1,
6.5,2022-06-28 19:08:00.051081,2022-06-28 19:09:40.051081,1,
6.5,2022-06-28 19:09:40.051081,2022-06-28 19:11:11.051081,2,
6.5,2022-06-28 19:11:11.051081,2022-06-28 19:12:43.051081,1,
6.5,2022-06-28 19:12:43.051081,2022-06-28 19:14:13.051081,2,
6.5,2022-06-28 19:14:13.051081,2022-06-28 19:15:42.051081,1,
8,2022-06-28 19:15:37.870914,2022-06-28 19:28:52.326094,2,8
9,2022-06-28 19:15:41.086973,2022-06-28 19:28:38.286345,2,9
10,2022-06-28 19:15:44.440127,2022-06-28 19:28:40.876275,2,10
11,2022-06-28 19:15:47.670532,2022-06-28 19:16:04.152274,2,11
-2,2022-06-28 19:16:03.150239,2022-06-28 19:16:04.151349,6,11
-1,2022-06-28 19:16:04.151527,2022-06-28 19:16:04.151545,2,12
-1,2022-06-28 19:16:04.151584,2022-06-28 19:16:04.151600,2,13
-1,2022-06-28 19:16:04.151636,2022-06-28 19:16:04.151652,2,14
11,2022-06-28 19:16:04.152278,2022-06-28 19:23:29.967342,5,12
7.5,2022-06-28 19:13:11.201915,2022-06-28 19:15:47.201915,1,
7.5,2022-06-28 19:15:47.201915,2022-06-28 19:18:27.201915,2,
7.5,2022-06-28 19:18:27.201915,2022-06-28 19:20:02.201915,1,
7.5,2022-06-28 19:20:02.201915,2022-06-28 19:21:32.201915,2,
7.5,2022-06-28 19:21:32.201915,2022-06-28 19:23:03.201915,1,
12,2022-06-28 19:17:51.911202,2022-06-28 19:23:46.548493,2,12
13,2022-06-28 19:17:55.298486,2022-06-28 19:28:05.281943,2,13
-1,2022-06-28 19:18:04.194205,2022-06-28 19:18:04.194267,2,15
-2,2022-06-28 19:18:04.194901,2022-06-28 19:18:05.196007,6,12
-2,2022-06-28 19:18:05.196180,2022-06-28 19:18:06.197293,6,13
-2,2022-06-28 19:18:06.197457,2022-06-28 19:18:07.198129,6,14
-2,2022-06-28 19:22:07.298174,2022-06-28 19:22:08.299290,6,15
-1,2022-06-28 19:22:08.299457,2022-06-28 19:22:08.299479,2,16
-1,2022-06-28 19:22:08.300308,2022-06-28 19:22:08.300335,2,17
-1,2022-06-28 19:22:08.300387,2022-06-28 19:22:08.300407,2,18
11.5,2022-06-28 19:16:04.152278,2022-06-28 19:17:45.152278,1,
11.5,2022-06-28 19:17:45.152278,2022-06-28 19:19:15.152278,2,
11.5,2022-06-28 19:19:15.152278,2022-06-28 19:20:44.152278,1,
11.5,2022-06-28 19:20:44.152278,2022-06-28 19:22:13.152278,2,
11.5,2022-06-28 19:22:13.152278,2022-06-28 19:23:42.152278,1,
14,2022-06-28 19:23:42.933505,2022-06-28 19:36:49.003405,2,14
15,2022-06-28 19:23:46.464936,2022-06-28 19:36:55.094135,2,15
12,2022-06-28 19:23:46.548501,2022-06-28 19:27:55.270863,4,16
-1,2022-06-28 19:24:08.400608,2022-06-28 19:24:08.400667,2,19
-2,2022-06-28 19:24:08.400795,2022-06-28 19:24:09.401935,6,16
-2,2022-06-28 19:24:09.402115,2022-06-28 19:24:10.403248,6,17
-2,2022-06-28 19:24:10.403426,2022-06-28 19:24:11.404551,6,18
12.5,2022-06-28 19:23:46.548501,2022-06-28 19:26:20.548501,1,
12.5,2022-06-28 19:26:20.548501,2022-06-28 19:28:54.548501,2,
12.5,2022-06-28 19:28:54.548501,2022-06-28 19:30:44.548501,1,
12.5,2022-06-28 19:30:44.548501,2022-06-28 19:32:15.548501,2,
12.5,2022-06-28 19:32:15.548501,2022-06-28 19:33:46.548501,1,
13,2022-06-28 19:28:05.281958,2022-06-28 19:29:41.272769,5,16
-2,2022-06-28 19:28:11.494191,2022-06-28 19:28:12.495337,6,19
-1,2022-06-28 19:28:12.495534,2022-06-28 19:28:12.495563,2,20
-1,2022-06-28 19:28:12.496290,2022-06-28 19:28:12.496319,2,21
-1,2022-06-28 19:28:12.496387,2022-06-28 19:28:12.496411,2,22
9.5,2022-06-28 19:15:41.086973,2022-06-28 19:18:16.086973,1,
9.5,2022-06-28 19:18:16.086973,2022-06-28 19:20:51.086973,2,
9.5,2022-06-28 19:20:51.086973,2022-06-28 19:23:25.086973,1,
9.5,2022-06-28 19:23:25.086973,2022-06-28 19:26:00.086973,2,
9.5,2022-06-28 19:26:00.086973,2022-06-28 19:28:34.086973,1,
10.5,2022-06-28 19:15:44.440127,2022-06-28 19:18:18.440127,1,
10.5,2022-06-28 19:18:18.440127,2022-06-28 19:20:53.440127,2,
10.5,2022-06-28 19:20:53.440127,2022-06-28 19:23:27.440127,1,
10.5,2022-06-28 19:23:27.440127,2022-06-28 19:26:01.440127,2,
10.5,2022-06-28 19:26:01.440127,2022-06-28 19:28:36.440127,1,
8.5,2022-06-28 19:15:37.870914,2022-06-28 19:18:17.870914,1,
8.5,2022-06-28 19:18:17.870914,2022-06-28 19:20:56.870914,2,
8.5,2022-06-28 19:20:56.870914,2022-06-28 19:23:35.870914,1,
8.5,2022-06-28 19:23:35.870914,2022-06-28 19:26:14.870914,2,
8.5,2022-06-28 19:26:14.870914,2022-06-28 19:28:49.870914,1,
16,2022-06-28 19:28:53.792298,2022-06-28 19:42:05.277862,2,16
17,2022-06-28 19:28:56.920053,2022-06-28 19:42:02.236023,2,17
18,2022-06-28 19:29:05.618540,2022-06-28 19:42:07.521101,2,18
13.5,2022-06-28 19:28:05.281958,2022-06-28 19:30:42.281958,1,
13.5,2022-06-28 19:30:42.281958,2022-06-28 19:33:16.281958,2,
13.5,2022-06-28 19:33:16.281958,2022-06-28 19:35:50.281958,1,
13.5,2022-06-28 19:35:50.281958,2022-06-28 19:38:19.281958,2,
13.5,2022-06-28 19:38:19.281958,2022-06-28 19:39:47.281958,1,
19,2022-06-28 19:29:54.215640,2022-06-28 19:42:57.212129,2,19
20,2022-06-28 19:29:57.690875,2022-06-28 19:42:17.534327,2,20
21,2022-06-28 19:30:01.172210,2022-06-28 19:42:17.534595,2,21
-1,2022-06-28 19:30:12.594211,2022-06-28 19:30:12.594280,2,23
-2,2022-06-28 19:30:12.594412,2022-06-28 19:30:13.595552,6,20
-2,2022-06-28 19:30:13.595762,2022-06-28 19:30:14.596899,6,21
-2,2022-06-28 19:30:14.597079,2022-06-28 19:30:15.598154,6,22
-2,2022-06-28 19:34:15.698170,2022-06-28 19:34:16.699309,6,23
-1,2022-06-28 19:34:16.699477,2022-06-28 19:34:16.699507,2,24
-1,2022-06-28 19:34:16.699564,2022-06-28 19:34:16.699592,2,25
-1,2022-06-28 19:34:16.699629,2022-06-28 19:34:16.699656,2,26
-1,2022-06-28 19:36:16.798158,2022-06-28 19:36:16.798226,2,27
-2,2022-06-28 19:36:16.798342,2022-06-28 19:36:17.799471,6,24
-2,2022-06-28 19:36:17.799633,2022-06-28 19:36:18.800766,6,25
-2,2022-06-28 19:36:18.800951,2022-06-28 19:36:19.802102,6,26
14.5,2022-06-28 19:23:42.933505,2022-06-28 19:26:19.933505,1,
14.5,2022-06-28 19:26:19.933505,2022-06-28 19:28:55.933505,2,
14.5,2022-06-28 19:28:55.933505,2022-06-28 19:31:33.933505,1,
14.5,2022-06-28 19:31:33.933505,2022-06-28 19:34:09.933505,2,
14.5,2022-06-28 19:34:09.933505,2022-06-28 19:36:45.933505,1,
15.5,2022-06-28 19:23:46.464936,2022-06-28 19:26:25.464936,1,
15.5,2022-06-28 19:26:25.464936,2022-06-28 19:29:02.464936,2,
15.5,2022-06-28 19:29:02.464936,2022-06-28 19:31:40.464936,1,
15.5,2022-06-28 19:31:40.464936,2022-06-28 19:34:16.464936,2,
15.5,2022-06-28 19:34:16.464936,2022-06-28 19:36:51.464936,1,
22,2022-06-28 19:37:08.103630,2022-06-28 19:42:17.534843,2,22
23,2022-06-28 19:37:11.519694,2022-06-28 19:42:56.053108,2,23
-2,2022-06-28 19:40:19.902198,2022-06-28 19:40:20.903355,6,27
-1,2022-06-28 19:40:20.903546,2022-06-28 19:40:20.903581,2,28
-1,2022-06-28 19:40:20.903623,2022-06-28 19:40:20.903653,2,29
-1,2022-06-28 19:40:20.903689,2022-06-28 19:40:20.903719,2,30
17.5,2022-06-28 19:28:56.920053,2022-06-28 19:31:33.920053,1,
17.5,2022-06-28 19:31:33.920053,2022-06-28 19:34:09.920053,2,
17.5,2022-06-28 19:34:09.920053,2022-06-28 19:36:45.920053,1,
17.5,2022-06-28 19:36:45.920053,2022-06-28 19:39:22.920053,2,
17.5,2022-06-28 19:39:22.920053,2022-06-28 19:41:58.920053,1,
16.5,2022-06-28 19:28:53.792298,2022-06-28 19:31:33.792298,1,
16.5,2022-06-28 19:31:33.792298,2022-06-28 19:34:16.792298,2,
16.5,2022-06-28 19:34:16.792298,2022-06-28 19:36:51.792298,1,
16.5,2022-06-28 19:36:51.792298,2022-06-28 19:39:26.792298,2,
16.5,2022-06-28 19:39:26.792298,2022-06-28 19:42:01.792298,1,
18.5,2022-06-28 19:29:05.618540,2022-06-28 19:31:44.618540,1,
