Task,Start,Finish,Cores,RequestId
-1,2022-06-28 11:09:36.556150,2022-06-28 11:09:36.556157,2,0
-1,2022-06-28 11:09:36.556227,2022-06-28 11:09:36.556236,2,1
0,2022-06-28 11:09:39.234843,2022-06-28 11:12:19.330422,8,0
1,2022-06-28 11:09:42.377087,2022-06-28 11:12:25.290701,8,1
-1,2022-06-28 11:09:42.427008,2022-06-28 11:09:42.427019,2,2
-1,2022-06-28 11:11:42.526165,2022-06-28 11:11:42.526180,2,3
-2,2022-06-28 11:11:42.526316,2022-06-28 11:11:43.527392,6,0
-2,2022-06-28 11:11:43.527553,2022-06-28 11:11:44.528650,6,1
-2,2022-06-28 11:11:44.528841,2022-06-28 11:11:45.529940,6,2
0.5,2022-06-28 11:09:39.234843,2022-06-28 11:10:15.234843,1,
0.5,2022-06-28 11:10:15.234843,2022-06-28 11:10:45.234843,2,
0.5,2022-06-28 11:10:45.234843,2022-06-28 11:11:15.234843,1,
0.5,2022-06-28 11:11:15.234843,2022-06-28 11:11:45.234843,2,
0.5,2022-06-28 11:11:45.234843,2022-06-28 11:12:15.234843,1,
1.5,2022-06-28 11:09:42.377087,2022-06-28 11:10:20.377087,1,
1.5,2022-06-28 11:10:20.377087,2022-06-28 11:10:53.377087,2,
1.5,2022-06-28 11:10:53.377087,2022-06-28 11:11:23.377087,1,
1.5,2022-06-28 11:11:23.377087,2022-06-28 11:11:53.377087,2,
1.5,2022-06-28 11:11:53.377087,2022-06-28 11:12:23.377087,1,
2,2022-06-28 11:12:37.734875,2022-06-28 11:15:15.249133,8,2
3,2022-06-28 11:12:40.753523,2022-06-28 11:15:20.009002,8,3
2.5,2022-06-28 11:12:37.734875,2022-06-28 11:13:13.734875,1,
2.5,2022-06-28 11:13:13.734875,2022-06-28 11:13:43.734875,2,
2.5,2022-06-28 11:13:43.734875,2022-06-28 11:14:12.734875,1,
2.5,2022-06-28 11:14:12.734875,2022-06-28 11:14:42.734875,2,
2.5,2022-06-28 11:14:42.734875,2022-06-28 11:15:11.734875,1,
3.5,2022-06-28 11:12:40.753523,2022-06-28 11:13:18.753523,1,
3.5,2022-06-28 11:13:18.753523,2022-06-28 11:13:48.753523,2,
3.5,2022-06-28 11:13:48.753523,2022-06-28 11:14:17.753523,1,
3.5,2022-06-28 11:14:17.753523,2022-06-28 11:14:47.753523,2,
3.5,2022-06-28 11:14:47.753523,2022-06-28 11:15:17.753523,1,
