Task,Start,Finish,Cores,RequestId
-1,2022-06-28 14:44:42.538618,2022-06-28 14:44:42.538627,2,0
-1,2022-06-28 14:44:42.538695,2022-06-28 14:44:42.538700,2,1
-1,2022-06-28 14:44:42.538741,2022-06-28 14:44:42.538757,2,2
0,2022-06-28 14:44:45.281493,2022-06-28 14:50:09.301171,4,0
1,2022-06-28 14:44:48.312392,2022-06-28 14:50:08.224800,4,1
2,2022-06-28 14:44:51.363941,2022-06-28 14:49:59.782267,4,2
-1,2022-06-28 14:46:42.638198,2022-06-28 14:46:42.638211,2,3
3,2022-06-28 14:46:45.389044,2022-06-28 14:50:49.496338,4,3
-2,2022-06-28 14:46:45.466173,2022-06-28 14:46:46.467263,6,0
-2,2022-06-28 14:46:46.467470,2022-06-28 14:46:47.468577,6,1
-2,2022-06-28 14:46:47.468747,2022-06-28 14:46:48.469844,6,2
2.5,2022-06-28 14:44:51.363941,2022-06-28 14:45:55.363941,1,
2.5,2022-06-28 14:45:55.363941,2022-06-28 14:46:52.363941,2,
2.5,2022-06-28 14:46:52.363941,2022-06-28 14:47:53.363941,1,
2.5,2022-06-28 14:47:53.363941,2022-06-28 14:48:54.363941,2,
2.5,2022-06-28 14:48:54.363941,2022-06-28 14:49:56.363941,1,
1.5,2022-06-28 14:44:48.312392,2022-06-28 14:45:57.312392,1,
1.5,2022-06-28 14:45:57.312392,2022-06-28 14:46:58.312392,2,
1.5,2022-06-28 14:46:58.312392,2022-06-28 14:48:00.312392,1,
1.5,2022-06-28 14:48:00.312392,2022-06-28 14:49:02.312392,2,
1.5,2022-06-28 14:49:02.312392,2022-06-28 14:50:04.312392,1,
0.5,2022-06-28 14:44:45.281493,2022-06-28 14:45:56.281493,1,
0.5,2022-06-28 14:45:56.281493,2022-06-28 14:46:59.281493,2,
0.5,2022-06-28 14:46:59.281493,2022-06-28 14:48:00.281493,1,
0.5,2022-06-28 14:48:00.281493,2022-06-28 14:49:02.281493,2,
0.5,2022-06-28 14:49:02.281493,2022-06-28 14:50:06.281493,1,
-2,2022-06-28 14:50:48.494242,2022-06-28 14:50:49.495331,6,3
-1,2022-06-28 14:50:49.495594,2022-06-28 14:50:49.495607,2,4
-1,2022-06-28 14:50:49.495665,2022-06-28 14:50:49.495674,2,5
-1,2022-06-28 14:50:49.495708,2022-06-28 14:50:49.495717,2,6
3,2022-06-28 14:50:49.496344,2022-06-28 14:51:59.933845,9,4
4,2022-06-28 14:50:52.134483,2022-06-28 14:56:03.491535,4,4
5,2022-06-28 14:50:55.275006,2022-06-28 14:56:13.502715,3,5
3.5,2022-06-28 14:50:49.496344,2022-06-28 14:51:59.496344,1,
3.5,2022-06-28 14:51:59.496344,2022-06-28 14:53:01.496344,2,
3.5,2022-06-28 14:53:01.496344,2022-06-28 14:54:02.496344,1,
3.5,2022-06-28 14:54:02.496344,2022-06-28 14:55:03.496344,2,
3.5,2022-06-28 14:55:03.496344,2022-06-28 14:55:59.496344,1,
6,2022-06-28 14:52:12.745307,2022-06-28 14:52:52.601179,8,6
-1,2022-06-28 14:52:49.595961,2022-06-28 14:52:49.595998,2,7
-2,2022-06-28 14:52:49.596162,2022-06-28 14:52:50.597299,6,4
-2,2022-06-28 14:52:50.597535,2022-06-28 14:52:51.598116,6,5
-2,2022-06-28 14:52:51.599072,2022-06-28 14:52:52.600199,6,6
6,2022-06-28 14:52:52.601184,2022-06-28 14:54:56.313489,10,7
6.5,2022-06-28 14:52:52.601184,2022-06-28 14:53:30.601184,1,
6.5,2022-06-28 14:53:30.601184,2022-06-28 14:54:00.601184,2,
6.5,2022-06-28 14:54:00.601184,2022-06-28 14:54:30.601184,1,
6.5,2022-06-28 14:54:30.601184,2022-06-28 14:55:01.601184,2,
6.5,2022-06-28 14:55:01.601184,2022-06-28 14:55:32.601184,1,
7,2022-06-28 14:55:09.148848,2022-06-28 14:56:53.702467,8,7
4.5,2022-06-28 14:50:52.134483,2022-06-28 14:51:59.134483,1,
4.5,2022-06-28 14:51:59.134483,2022-06-28 14:52:58.134483,2,
4.5,2022-06-28 14:52:58.134483,2022-06-28 14:53:58.134483,1,
4.5,2022-06-28 14:53:58.134483,2022-06-28 14:54:59.134483,2,
4.5,2022-06-28 14:54:59.134483,2022-06-28 14:55:59.134483,1,
5,2022-06-28 14:56:13.502726,2022-06-28 14:58:31.825632,7,8
-2,2022-06-28 14:56:52.700530,2022-06-28 14:56:53.701629,6,7
-1,2022-06-28 14:56:53.701844,2022-06-28 14:56:53.701860,2,8
7,2022-06-28 14:56:53.702471,2022-06-28 14:58:00.164483,10,8
8,2022-06-28 14:56:56.873583,2022-06-28 15:01:28.279142,2,8
-1,2022-06-28 14:56:56.948316,2022-06-28 14:56:56.948350,2,9
-1,2022-06-28 14:56:56.948476,2022-06-28 14:56:56.948501,2,10
7.5,2022-06-28 14:56:53.702471,2022-06-28 14:57:31.702471,1,
7.5,2022-06-28 14:57:31.702471,2022-06-28 14:58:02.702471,2,
7.5,2022-06-28 14:58:02.702471,2022-06-28 14:58:35.702471,1,
7.5,2022-06-28 14:58:35.702471,2022-06-28 14:59:08.702471,2,
7.5,2022-06-28 14:59:08.702471,2022-06-28 14:59:40.702471,1,
9,2022-06-28 14:58:12.969726,2022-06-28 15:01:28.279389,2,9
10,2022-06-28 14:58:16.261900,2022-06-28 15:09:47.507231,2,10
5.5,2022-06-28 14:56:13.502726,2022-06-28 14:57:53.502726,1,
5.5,2022-06-28 14:57:53.502726,2022-06-28 14:59:26.502726,2,
5.5,2022-06-28 14:59:26.502726,2022-06-28 15:00:56.502726,1,
5.5,2022-06-28 15:00:56.502726,2022-06-28 15:02:21.502726,2,
5.5,2022-06-28 15:02:21.502726,2022-06-28 15:03:45.502726,1,
-1,2022-06-28 14:58:57.048856,2022-06-28 14:58:57.048895,2,11
-2,2022-06-28 14:58:57.049094,2022-06-28 14:58:58.050235,6,8
11,2022-06-28 14:58:59.800222,2022-06-28 15:01:18.265238,10,11
-2,2022-06-28 14:58:59.870448,2022-06-28 14:59:00.871578,6,9
-2,2022-06-28 14:59:00.871777,2022-06-28 14:59:01.872908,6,10
11.5,2022-06-28 14:58:59.800222,2022-06-28 14:59:33.800222,1,
11.5,2022-06-28 14:59:33.800222,2022-06-28 14:59:59.800222,2,
11.5,2022-06-28 14:59:59.800222,2022-06-28 15:00:24.800222,1,
11.5,2022-06-28 15:00:24.800222,2022-06-28 15:00:49.800222,2,
11.5,2022-06-28 15:00:49.800222,2022-06-28 15:01:14.800222,1,
8,2022-06-28 15:01:28.279152,2022-06-28 15:09:37.493392,7,12
9,2022-06-28 15:01:28.279394,2022-06-28 15:10:44.514718,7,12
-2,2022-06-28 15:03:01.898210,2022-06-28 15:03:02.899321,6,11
-1,2022-06-28 15:03:02.899695,2022-06-28 15:03:02.899716,2,12
-1,2022-06-28 15:03:02.899776,2022-06-28 15:03:02.899796,2,13
-1,2022-06-28 15:03:02.899843,2022-06-28 15:03:02.899868,2,14
-1,2022-06-28 15:05:03.000033,2022-06-28 15:05:03.000074,2,15
8.5,2022-06-28 15:01:28.279152,2022-06-28 15:04:10.279152,1,
8.5,2022-06-28 15:04:10.279152,2022-06-28 15:06:45.279152,2,
8.5,2022-06-28 15:06:45.279152,2022-06-28 15:09:12.279152,1,
8.5,2022-06-28 15:09:12.279152,2022-06-28 15:11:39.279152,2,
8.5,2022-06-28 15:11:39.279152,2022-06-28 15:14:05.279152,1,
10,2022-06-28 15:09:47.507252,2022-06-28 15:10:39.557250,6,12
12,2022-06-28 15:09:50.219765,2022-06-28 15:22:31.533888,2,12
10.5,2022-06-28 15:09:47.507252,2022-06-28 15:12:33.507252,1,
10.5,2022-06-28 15:12:33.507252,2022-06-28 15:14:57.507252,2,
10.5,2022-06-28 15:14:57.507252,2022-06-28 15:17:20.507252,1,
10.5,2022-06-28 15:17:20.507252,2022-06-28 15:19:43.507252,2,
10.5,2022-06-28 15:19:43.507252,2022-06-28 15:22:07.507252,1,
9.5,2022-06-28 15:01:28.279394,2022-06-28 15:04:13.279394,1,
9.5,2022-06-28 15:04:13.279394,2022-06-28 15:06:40.279394,2,
9.5,2022-06-28 15:06:40.279394,2022-06-28 15:09:06.279394,1,
9.5,2022-06-28 15:09:06.279394,2022-06-28 15:11:31.279394,2,
9.5,2022-06-28 15:11:31.279394,2022-06-28 15:13:56.279394,1,
13,2022-06-28 15:10:57.056077,2022-06-28 15:16:15.077548,4,13
14,2022-06-28 15:11:00.293944,2022-06-28 15:16:15.395822,4,14
15,2022-06-28 15:11:03.455625,2022-06-28 15:16:02.773787,4,15
15.5,2022-06-28 15:11:03.455625,2022-06-28 15:12:08.455625,1,
15.5,2022-06-28 15:12:08.455625,2022-06-28 15:13:06.455625,2,
15.5,2022-06-28 15:13:06.455625,2022-06-28 15:14:04.455625,1,
15.5,2022-06-28 15:14:04.455625,2022-06-28 15:15:02.455625,2,
15.5,2022-06-28 15:15:02.455625,2022-06-28 15:15:59.455625,1,
13.5,2022-06-28 15:10:57.056077,2022-06-28 15:12:06.056077,1,
13.5,2022-06-28 15:12:06.056077,2022-06-28 15:13:07.056077,2,
13.5,2022-06-28 15:13:07.056077,2022-06-28 15:14:09.056077,1,
13.5,2022-06-28 15:14:09.056077,2022-06-28 15:15:10.056077,2,
13.5,2022-06-28 15:15:10.056077,2022-06-28 15:16:11.056077,1,
