Containers, Policy, Asignment Policy, Tf Version, Priority, TME, TMR, TMER, Recursos, Productividad, TT 
8,fcfs,strict,maleable,1,86.5 , 8.875 , 95.375 , 35.46875 , 114.28571428571428 , 252.0
8,fcfs,strict,original,1,84.25 , 4.0 , 88.25 , 52.083333333333336 , 110.3448275862069 , 261.0
8,fcfs,always_attend,maleable,1,81.5 , 1.375 , 82.875 , 47.916666666666664 , 120.0 , 240.0
8,fcfs,always_attend,original,1,98.25 , 3.125 , 101.375 , 37.25961538461539 , 77.00534759358288 , 374.0
8,fcfs,max_prop,maleable,1,69.375 , 5.125 , 74.5 , 48.78472222222222 , 132.7188940092166 , 217.0
8,fcfs,max_prop,original,1,67.0 , 9.75 , 76.75 , 52.604166666666664 , 125.764192139738 , 229.0
16,fcfs,strict,maleable,1,88.9375 , 19.0 , 107.9375 , 56.026785714285715 , 150.39164490861617 , 383.0
16,fcfs,strict,original,1,84.0625 , 22.6875 , 106.75 , 56.919642857142854 , 138.1294964028777 , 417.0
16,fcfs,always_attend,maleable,1,93.5 , 13.75 , 107.25 , 60.9375 , 165.51724137931035 , 348.0
16,fcfs,always_attend,original,1,99.125 , 11.875 , 111.0 , 53.515625 , 123.3404710920771 , 467.0
16,fcfs,max_prop,maleable,1,81.5625 , 13.75 , 95.3125 , 65.40178571428571 , 148.8372093023256 , 387.0
16,fcfs,max_prop,original,1,128.625 , 14.125 , 142.75 , 57.483552631578945 , 107.26256983240224 , 537.0
32,fcfs,strict,maleable,1,86.5625 , 46.09375 , 132.65625 , 69.3359375 , 164.8068669527897 , 699.0
32,fcfs,strict,original,1,83.3125 , 41.6875 , 125.0 , 67.59510869565217 , 174.54545454545456 , 660.0
32,fcfs,always_attend,maleable,1,93.71875 , 45.9375 , 139.65625 , 69.921875 , 166.47398843930637 , 692.0
32,fcfs,always_attend,original,1,118.84375 , 64.875 , 183.71875 , 76.44675925925925 , 143.28358208955225 , 804.0
32,fcfs,max_prop,maleable,1,97.59375 , 39.15625 , 136.75 , 80.33854166666667 , 161.11888111888112 , 715.0
32,fcfs,max_prop,original,1,154.625 , 27.03125 , 181.65625 , 64.11458333333333 , 128.0 , 900.0
64,fcfs,strict,maleable,1,92.65625 , 98.953125 , 191.609375 , 77.2372159090909 , 173.36343115124154 , 1329.0
64,fcfs,strict,original,1,88.046875 , 101.875 , 189.921875 , 75.29069767441861 , 180.84772370486658 , 1274.0
64,fcfs,always_attend,maleable,1,95.421875 , 91.578125 , 187.0 , 80.39434523809524 , 179.02097902097904 , 1287.0
64,fcfs,always_attend,original,1,103.203125 , 135.890625 , 239.09375 , 80.57065217391305 , 171.3011152416357 , 1345.0
64,fcfs,max_prop,maleable,1,234.859375 , 84.015625 , 318.875 , 86.7686170212766 , 161.57082748948105 , 1426.0
64,fcfs,max_prop,original,1,318.53125 , 110.65625 , 429.1875 , 85.71022727272727 , 139.9756986634265 , 1646.0
128,fcfs,strict,maleable,1,90.7109375 , 179.9375 , 270.6484375 , 79.83810240963855 , 181.34592680047226 , 2541.0
128,fcfs,strict,original,1,89.453125 , 212.5390625 , 301.9921875 , 81.79012345679013 , 187.69857433808554 , 2455.0
128,fcfs,always_attend,maleable,1,102.046875 , 234.2421875 , 336.2890625 , 83.26981707317073 , 183.87869114126096 , 2506.0
128,fcfs,always_attend,original,1,127.0078125 , 469.1640625 , 596.171875 , 83.92857142857143 , 153.90781563126254 , 2994.0
128,fcfs,max_prop,maleable,1,266.96875 , 336.8203125 , 603.7890625 , 93.71744791666667 , 157.162346521146 , 2932.0
128,fcfs,max_prop,original,1,376.9375 , 555.5703125 , 932.5078125 , 93.26171875 , 133.99243966269265 , 3439.0
8,priority,strict,maleable,0,81.33333333333333 , 2.0 , 83.33333333333333 , 47.395833333333336 , 40.75471698113208 , 250.0
8,priority,strict,maleable,1,81.0 , 10.666666666666666 , 91.66666666666667 , 47.395833333333336 , 40.75471698113208 , 275.0
8,priority,strict,maleable,2,79.0 , 2.0 , 81.0 , 47.395833333333336 , 13.584905660377357 , 81.0
8,priority,strict,maleable,3,62.0 , 2.0 , 64.0 , 47.395833333333336 , 13.584905660377357 , 64.0
8,priority,strict,maleable,4,0 , 0 , 0 , 47.395833333333336 , 0.0 , 0
8,priority,strict,original,0,77.66666666666667 , 1.0 , 78.66666666666667 , 43.576388888888886 , 52.17391304347826 , 236.0
8,priority,strict,original,1,78.66666666666667 , 8.0 , 86.66666666666667 , 43.576388888888886 , 52.17391304347826 , 260.0
8,priority,strict,original,2,72.0 , 1.0 , 73.0 , 43.576388888888886 , 17.391304347826086 , 73.0
8,priority,strict,original,3,62.0 , 1.0 , 63.0 , 43.576388888888886 , 17.391304347826086 , 63.0
8,priority,strict,original,4,0 , 0 , 0 , 43.576388888888886 , 0.0 , 0
8,priority,always_attend,maleable,0,78.0 , 2.0 , 80.0 , 42.013888888888886 , 48.0 , 240.0
8,priority,always_attend,maleable,1,71.0 , 1.25 , 72.25 , 42.013888888888886 , 48.0 , 289.0
8,priority,always_attend,maleable,2,77.0 , 2.0 , 79.0 , 42.013888888888886 , 16.0 , 79.0
8,priority,always_attend,maleable,3,62.0 , 1.0 , 63.0 , 42.013888888888886 , 16.0 , 63.0
8,priority,always_attend,maleable,4,0 , 0 , 0 , 42.013888888888886 , 0.0 , 0
8,priority,always_attend,original,0,79.0 , 3.6666666666666665 , 82.66666666666667 , 34.01442307692308 , 30.769230769230766 , 248.0
8,priority,always_attend,original,1,89.75 , 1.75 , 91.5 , 34.01442307692308 , 30.769230769230766 , 366.0
8,priority,always_attend,original,2,71.0 , 1.0 , 72.0 , 34.01442307692308 , 10.256410256410255 , 72.0
8,priority,always_attend,original,3,56.0 , 1.0 , 57.0 , 34.01442307692308 , 10.256410256410255 , 57.0
8,priority,always_attend,original,4,0 , 0 , 0 , 34.01442307692308 , 0.0 , 0
8,priority,max_prop,maleable,0,54.0 , 3.0 , 57.0 , 47.65625 , 44.81327800829875 , 228.0
8,priority,max_prop,maleable,1,67.25 , 7.5 , 74.75 , 47.65625 , 44.81327800829875 , 299.0
8,priority,max_prop,maleable,2,54.5 , 7.0 , 61.5 , 47.65625 , 14.937759336099585 , 123.0
8,priority,max_prop,maleable,3,57.0 , 1.0 , 58.0 , 47.65625 , 14.937759336099585 , 58.0
8,priority,max_prop,maleable,4,0 , 0 , 0 , 47.65625 , 0.0 , 0
8,priority,max_prop,original,0,49.25 , 3.25 , 52.5 , 42.55514705882353 , 21.09375 , 210.0
8,priority,max_prop,original,1,60.333333333333336 , 16.333333333333332 , 76.66666666666667 , 42.55514705882353 , 21.09375 , 230.0
8,priority,max_prop,original,2,188.5 , 5.5 , 194.0 , 42.55514705882353 , 7.03125 , 388.0
8,priority,max_prop,original,3,59.0 , 1.0 , 60.0 , 42.55514705882353 , 7.03125 , 60.0
8,priority,max_prop,original,4,0 , 0 , 0 , 42.55514705882353 , 0.0 , 0
16,priority,strict,maleable,0,86.0 , 14.6 , 100.6 , 55.80357142857143 , 49.586776859504134 , 503.0
16,priority,strict,maleable,1,92.0 , 24.0 , 116.0 , 55.80357142857143 , 29.75206611570248 , 348.0
16,priority,strict,maleable,2,89.5 , 1.5 , 91.0 , 55.80357142857143 , 19.834710743801654 , 182.0
16,priority,strict,maleable,3,84.0 , 23.0 , 107.0 , 55.80357142857143 , 19.834710743801654 , 214.0
16,priority,strict,maleable,4,88.25 , 27.75 , 116.0 , 55.80357142857143 , 39.66942148760331 , 464.0
16,priority,strict,original,0,88.2 , 14.8 , 103.0 , 56.138392857142854 , 43.583535108958834 , 515.0
16,priority,strict,original,1,93.33333333333333 , 21.666666666666668 , 115.0 , 56.138392857142854 , 26.150121065375302 , 345.0
16,priority,strict,original,2,90.0 , 2.0 , 92.0 , 56.138392857142854 , 17.433414043583536 , 184.0
16,priority,strict,original,3,80.0 , 30.5 , 110.5 , 56.138392857142854 , 17.433414043583536 , 221.0
16,priority,strict,original,4,86.5 , 19.0 , 105.5 , 56.138392857142854 , 34.86682808716707 , 422.0
16,priority,always_attend,maleable,0,70.57142857142857 , 9.285714285714286 , 79.85714285714286 , 61.71875 , 43.373493975903614 , 559.0
16,priority,always_attend,maleable,1,96.33333333333333 , 4.0 , 100.33333333333333 , 61.71875 , 26.024096385542165 , 301.0
16,priority,always_attend,maleable,2,90.5 , 1.0 , 91.5 , 61.71875 , 17.349397590361445 , 183.0
16,priority,always_attend,maleable,3,59.5 , 10.5 , 70.0 , 61.71875 , 17.349397590361445 , 280.0
16,priority,always_attend,maleable,4,70.8 , 20.2 , 91.0 , 61.71875 , 34.69879518072289 , 455.0
16,priority,always_attend,original,0,130.0 , 5.333333333333333 , 135.33333333333334 , 48.57954545454545 , 28.0811232449298 , 812.0
