Cores_Per_C,Containers,Time
8,1,102
8,2,98
8,3,94
8,4,104
8,5,104
8,6,113
8,7,113
8,8,118
8,9,120
8,10,121
8,11,127
8,12,139
8,13,141
8,14,147
8,15,155
8,16,167
16,1,80
16,2,85
16,3,84
16,4,90
16,5,99
16,6,94
16,7,94
16,8,100
16,9,105
16,10,116
16,11,126
16,12,127
16,13,139
16,14,145
16,15,143
16,16,164
32,1,75
32,2,75
32,3,81
32,4,85
32,5,90
32,6,89
32,7,93
32,8,96
32,9,109
32,10,110
32,11,117
32,12,128
32,13,144
32,14,146
32,15,153
32,16,166
48,1,74
48,2,79
48,3,81
48,4,82
48,5,87
48,6,89
48,7,91
48,8,97
48,9,109
48,10,114
48,11,118
48,12,131
48,13,145
48,14,149
48,15,166
48,16,168
64,1,71
64,2,74
64,3,79
64,4,76
64,5,84
64,6,89
64,7,96
64,8,98
64,9,107
64,10,114
64,11,128
64,12,129
64,13,139
64,14,153
64,15,152
64,16,168
