Cores_Per_C,Containers,Time
1,1,1808
1,2,1790
1,4,1837
1,8,1885
1,16,1871
1,32,2048
1,48,2235
1,64,2661
1,80,2988
2,1,1165
2,2,1177
2,4,1209
2,8,1298
2,16,1419
2,32,1656
2,48,2208
2,64,3075
2,80,3832
4,1,714
4,2,621
4,4,667
4,8,752
4,16,927
4,32,1709
4,48,2587
4,64,3367
4,80,4232
8,1,528
8,2,482
8,4,524
8,8,623
8,16,882
8,32,1726
8,48,2628
8,64,3556
8,80,4477
16,1,410
16,2,426
16,4,445
16,8,523
16,16,879
16,32,1760
16,48,2699
16,64,3647
16,80,4589
32,1,375
32,2,363
32,4,434
32,8,517
32,16,920
32,32,1861
32,48,2847
32,64,3843
32,80,4791
48,1,366
48,2,388
48,4,418
48,8,511
48,16,947
48,32,1842
48,48,2940
48,64,3808
48,80,4940
64,1,333
64,2,372
64,4,407
64,8,478
64,16,894
64,32,1912
64,48,2958
64,64,3910
64,80,4861
